#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
_id,ltable.id,rtable.id,ltable.movie_name,ltable.year,ltable.directors,ltable.actors,ltable.critic_rating,ltable.genre,ltable.pg_rating,ltable.duration,rtable.movie_name,rtable.year,rtable.directors,rtable.actors,rtable.movie_rating,rtable.genre,rtable.duration
17,171,2509,V for Vendetta,2006,James McTeigue,"Natalie Portman,Hugo Weaving,Stephen Rea,Stephen Fry,John Hurt",3.0,"Action, Science Fiction, Thriller",Rated R,132 minutes,V for Vendetta,2005,James McTeigue,"Hugo Weaving, Natalie Portman, Rupert Graves",8.2,"Action, Drama, Thriller",132 min 
18,190,2293,Ice Age: The Meltdown,2006,Carlos Saldanha,"Ray Romano,Denis Leary,Queen Latifah,Josh Peck,Jay Leno,Seann William Scott",2.5,"Adventure, Animation, Family",Rated PG,91 minutes,Ice Age: The Meltdown,2006,Carlos Saldanha,"Ray Romano, John Leguizamo, Denis Leary",6.9,"Animation, Action, Adventure",91 min 
19,199,2327,The Fast and the Furious: Tokyo Drift,2006,Justin Lin,"Lucas Black,Sung Kang,Bow Wow,Brian Tee,Nathalie Kelley,Sonny Chiba,Jason Tobin,Zachery Ty Bryan",3.0,"Action, Adventure, Crime, Drama, Thriller",Rated PG-13,104 minutes,The Fast and the Furious: Tokyo Drift,2006,Justin Lin,"Lucas Black, Zachery Ty Bryan, Shad Moss",6.0,"Action, Crime, Drama",104 min 
20,214,2253,Superman Returns,2006,Bryan Singer,"Brandon Routh,Kevin Spacey,Kate Bosworth,James Marsden,Frank Langella,Sam Huntington,Eva Marie Saint,Parker Posey",2.0,"Action, Adventure, Fantasy, Science Fiction",Rated PG-13,154 minutes,Superman Returns,2006,Bryan Singer,"Brandon Routh, Kevin Spacey, Kate Bosworth",6.1,"Action, Adventure, Fantasy",154 min 
21,230,2298,The Sentinel,2006,Clark Johnson,"Michael Douglas,Kiefer Sutherland,Kim Basinger,Eva Longoria,David Rasche,Raoul Bhaneja,Simon Reynolds,Danny A. Gonzales",3.0,"Action, Adventure, Drama, Thriller",Rated PG-13,108 minutes,The Sentinel,2006,Clark Johnson,"Michael Douglas, Kiefer Sutherland, Kim Basinger",6.1,"Action, Crime, Thriller",108 min 
22,245,2257,X-Men: The Last Stand,2006,Brett Ratner,"Hugh Jackman,Patrick Stewart,Ian McKellen,Halle Berry,Famke Janssen,Kelsey Grammer",3.0,"Action, Adventure, Fantasy, Science Fiction",Rated PG-13,104 minutes,X-Men: The Last Stand,2006,Brett Ratner,"Patrick Stewart, Hugh Jackman, Halle Berry",6.8,"Action, Adventure, Sci-Fi",104 min 
23,268,2437,King Kong,2005,Peter Jackson,"Naomi Watts,Jack Black,Adrien Brody,Thomas Kretschmann,Colin Hanks,Andy Serkis,Evan Parke",4.0,"Action, Adventure, Drama, Foreign, Horror, Thriller",Rated PG-13,187 minutes,King Kong,2005,Peter Jackson,"Naomi Watts, Jack Black, Adrien Brody",7.3,"Action, Adventure, Drama",187 min 
24,268,6396,King Kong,2005,Peter Jackson,"Naomi Watts,Jack Black,Adrien Brody,Thomas Kretschmann,Colin Hanks,Andy Serkis,Evan Parke",4.0,"Action, Adventure, Drama, Foreign, Horror, Thriller",Rated PG-13,187 minutes,King Kong,1962,Babubhai Mistri,"Kumkum, Dara Singh, Chandrashekhar",6.2,"Action, Adventure, Comedy",142 min 
25,287,637,Wolf Creek,2005,,"John Jarratt,Nathan Phillips,Cassandra Magrath,Kestie Morassi",0.0,"Foreign, Horror, Thriller",Rated NR,99 minutes,Wolf Creek 2,2013,Greg McLean,"John Jarratt, Ryan Corr, Shannon Ashlyn",6.1,"Action, Horror, Thriller",106 min 
26,324,2308,16 Blocks,2006,Richard Donner,"Bruce Willis,Mos Def,David Morse,Tig Fong,Cylk Cozart,Michael F. Keenan,Sasha Roiz",3.0,"Action, Adventure, Crime, Thriller",Rated PG-13,105 minutes,16 Blocks,2006,Richard Donner,"Bruce Willis, Yasiin Bey, David Morse",6.6,"Action, Crime, Drama",105 min 
27,326,2679,Night Watch,2006,Timur Bekmambetov,"Konstantin Khabensky,Vladimir Menshov,Viktor Verzhbitsky,Mariya Poroshina,Gosha Kytsenko,Dima Martynov,Anna Dubrovskaya,Aleksei Chadov,Aleksander Samojlenko",2.0,"Action, Adventure, Drama, Fantasy, Foreign, Horror, Science Fiction, Thriller",Rated R,114 minutes,Night Watch,2004,Timur Bekmambetov,"Konstantin Khabenskiy, Vladimir Menshov, Mariya Poroshina",6.5,"Action, Fantasy, Thriller",114 min 
28,327,2270,Running Scared,2006,,"Paul Walker,Cameron Bright,Vera Farmiga,Chazz Palminteri,Alex Neuberger,Ivana Milicevic,Johnny Messner,Michael Cudlitz",3.0,"Action, Adventure, Crime, Drama, Thriller",Rated R,122 minutes,Running Scared,2006,Wayne Kramer,"Paul Walker, Cameron Bright, Chazz Palminteri",7.5,"Action, Crime, Drama",122 min 
29,327,4976,Running Scared,2006,,"Paul Walker,Cameron Bright,Vera Farmiga,Chazz Palminteri,Alex Neuberger,Ivana Milicevic,Johnny Messner,Michael Cudlitz",3.0,"Action, Adventure, Crime, Drama, Thriller",Rated R,122 minutes,Running Scared,1986,Peter Hyams,"Gregory Hines, Billy Crystal, Steven Bauer",6.5,"Action, Comedy, Crime",107 min 
30,327,5425,Running Scared,2006,,"Paul Walker,Cameron Bright,Vera Farmiga,Chazz Palminteri,Alex Neuberger,Ivana Milicevic,Johnny Messner,Michael Cudlitz",3.0,"Action, Adventure, Crime, Drama, Thriller",Rated R,122 minutes,Running Scared,1980,Paul Glickler,"Ken Wahl, Judge Reinhold, Annie McEnroe",5.3,"Action, Adventure, Drama",96 min 
31,338,2951,Derailed,2005,Mikael Hafstrom,"Clive Owen,Jennifer Aniston,Melissa George,Vincent Cassel,RZA,Xzibit",2.5,"Drama, Thriller",Rated R,108 minutes,Derailed,2002,Bob Misiorowski,"Jean-Claude Van Damme, Tomas Arana, Laura Harring",3.9,"Action, Thriller",89 min 
32,361,3980,No Escape,2015,John Erick Dowdle,"Owen Wilson,Lake Bell,Pierce Brosnan,Sterling Jerins,Spencer Garrett",0.5,Thriller,Rated R,103 minutes,No Escape,1994,Martin Campbell,"Ray Liotta, Lance Henriksen, Stuart Wilson",6.0,"Action, Drama, Sci-Fi",118 min 
33,381,106,Dragon Blade,2015,Daniel Lee,"Jackie Chan,John Cusack,Adrien Brody,Sharni Vinson,Max Huang,Si Won Choi,Peng Lin",2.0,"Action, Adventure, Drama, History",Rated R,127 minutes,Dragon Blade,2015,Daniel Lee,"Jackie Chan, John Cusack, Adrien Brody",6.2,"Action, Adventure, Drama",127 min 
34,387,1545,Prince,2015,Sam de Jong,"Ayoub Elasri,Oussama Addi,Achraf Meziani,Elsie de Brauw,Sigrid ten Napel,Jorik Scholten",3.0,"Comedy, Drama",,78 minutes,Prince,2010,Kookie V. Gulati,"Vivek Oberoi, Isaiah, Aruna Shields",4.1,"Action, Crime, Drama",138 min 
35,413,1743,Breathe,2015,Mélanie Laurent,"Joséphine Japy,Lou de Laâge,Isabelle Carré,Roxane Duran",3.0,Drama,Rated NR,91 minutes,Breathe,2009,Nicholas Winter,,4.2,"Action, Drama",86 min 
36,416,3667,Black Mass,2015,Scott Cooper,"Johnny Depp,Joel Edgerton,Benedict Cumberbatch,Dakota Johnson,Kevin Bacon,Jesse Plemons,Corey Stoll,Peter Sarsgaard,Juno Temple,Adam Scott,Julianne Nicholson,Rory Cochrane,Jamie Donnelly",3.0,"Crime, Drama",Rated R,122 minutes,Black Mask,1996,Daniel Lee,"Jet Li, Ching Wan Lau, Karen Mok",6.1,"Action, Adventure, Comedy",99 min 
37,429,727,Captive,2015,Jerry Jameson,"Kate Mara,David Oyelowo,Michael Kenneth Williams,Mimi Rogers,Leonor Varela,E. Roger Mitchell",2.0,"Crime, Drama, Thriller",Rated PG-13,97 minutes,Captive,2013,Jordan Brown,"Eric Breker, Cory Rempel, Dalias Blake",3.8,"Action, Thriller",88 min 
38,429,728,Captive,2015,Jerry Jameson,"Kate Mara,David Oyelowo,Michael Kenneth Williams,Mimi Rogers,Leonor Varela,E. Roger Mitchell",2.0,"Crime, Drama, Thriller",Rated PG-13,97 minutes,Captive,2013,Jordan Brown,"Eric Breker, Cory Rempel, Dalias Blake",3.8,"Action, Thriller",88 min 
39,429,2053,Captive,2015,Jerry Jameson,"Kate Mara,David Oyelowo,Michael Kenneth Williams,Mimi Rogers,Leonor Varela,E. Roger Mitchell",2.0,"Crime, Drama, Thriller",Rated PG-13,97 minutes,Captive,2008,Aleksey Uchitel,"Vyacheslav Krikunov, Pyotr Logachev, Irakli Mskhalaia",6.2,"Action, Drama",80 min 
40,441,253,Big Game,2015,Jalmari Helander,"Samuel L. Jackson,Onni Tommila,Ted Levine,Victor Garber,Felicity Huffman",2.0,"Action, Adventure",Rated PG-13,110 minutes,Big Game,2014,Jalmari Helander,"Samuel L. Jackson, Onni Tommila, Ray Stevenson",5.5,"Action, Adventure",110 min 
41,455,1623,Pixels,2015,Chris Columbus,"Adam Sandler,Michelle Monaghan,Peter Dinklage,Josh Gad,Kevin James,Ashley Benson,Sean Bean,Jane Krakowski,Brian Cox",1.5,"Action, Comedy, Science Fiction",Rated PG-13,105 minutes,Pixels,2010,Jacek Lusinski,"Marcin Adamkiewicz, Dominik Bak, Mieszko Barglik",4.5,"Action, Comedy",100 min 
42,465,2185,Gabriel,2015,Lou Howe,"Rory Culkin,David Call,Deirdre O'Connell,Emily Meade,Louisa Krause,Lynn Cohen,Alexia Rasmussen,Frank De Julio,Desmin Borges,Sean Cullen",3.0,Drama,,85 minutes,Gabriel,2007,Shane Abbess,"Andy Whitfield, Dwaine Stevenson, Samantha Noble",5.7,"Action, Fantasy, Horror",114 min 
43,473,497,A Hard Day,2015,Kim Seong-Hun,"Lee Sun-Kyun,Jo Jin-woong,Jeong Man-sik,Kim Dong-yeong",3.0,"Action, Crime, Thriller",,111 minutes,A Hard Day,2014,Seong-hoon Kim,"Sun-kyun Lee, Jang In-sub, Man-shik Jeong",7.2,"Action, Crime, Thriller",111 min 
44,498,115,Wild City,2015,Ringo Lam,"Shawn Yue,Louis Koo,Tong Liya,Joseph Chang,Jack Kao Kuo-Hsin,Simon Yam,Sam Lee,Philip Ng,Dave Wong",3.0,Action,,120 minutes,Wild City,2015,Ringo Lam,"Louis Koo, Shawn Yue, Liya Tong",5.8,"Action, Crime, Thriller",120 min 
45,499,2417,Fantastic Four,2015,Josh Trank,"Miles Teller,Kate Mara,Jamie Bell,Michael B. Jordan,Toby Kebbell,Tim Blake Nelson,Reg E. Cathey",1.5,"Action, Adventure, Science Fiction",Rated PG-13,100 minutes,Fantastic Four,2005,Tim Story,"Ioan Gruffudd, Michael Chiklis, Chris Evans",5.7,"Action, Adventure, Sci-Fi",106 min 
46,503,635,The Young and Prodigious T.S. Spivet,2015,Jean-Pierre Jeunet,"Kyle Catlett,Helena Bonham-Carter,Judy Davis,Callum Keith Rennie,Niamh Wilson,Jakob Davies,Rick Mercer,Robert Maillet,Julian Richings,Dominique Pinon",2.5,"Adventure, Drama, Family",Rated G,105 minutes,The Young and Prodigious T.S. Spivet,2013,Jean-Pierre Jeunet,"Kyle Catlett, Helena Bonham Carter, Judy Davis",7.1,"Action, Adventure, Drama",105 min 
47,543,221,Skin Trade,2015,Ekachai Uekrongtham,"Ron Perlman,Tony Jaa,Dolph Lundgren,Celina Jade,Michael Jai White,Peter Weller",3.0,"Action, Crime, Thriller",Rated R,96 minutes,Skin Trade,2014,Ekachai Uekrongtham,"Dolph Lundgren, Tony Jaa, Ron Perlman",5.7,"Action, Crime, Thriller",96 min 
48,551,780,Police Story: Lockdown,2015,Ding Sheng,"Jackie Chan,Liu Ye,Jing Tian",3.0,"Action, Crime, Drama, Thriller",,110 minutes,Police Story: Lockdown,2013,Sheng Ding,"Jackie Chan, Ye Liu, Tian Jing",6.1,"Action, Crime, Drama",110 min 
49,582,67,Survivor,2015,James McTeigue,"Milla Jovovich,Pierce Brosnan,Dylan McDermott,Angela Bassett,Robert Forster,James D'Arcy,Roger Rees,Genevieve O'Reilly,Frances de la Tour,Sonya Cassidy",2.0,"Action, Thriller",Rated PG-13,96 minutes,Survivor,2015,James McTeigue,"Dylan McDermott, Royce Pierreson, Ben Starr",5.6,"Action, Crime, Thriller",96 min 
50,582,423,Survivor,2015,James McTeigue,"Milla Jovovich,Pierce Brosnan,Dylan McDermott,Angela Bassett,Robert Forster,James D'Arcy,Roger Rees,Genevieve O'Reilly,Frances de la Tour,Sonya Cassidy",2.0,"Action, Thriller",Rated PG-13,96 minutes,Survivor,2014,John Lyde,"Danielle Chuchran, Kevin Sorbo, Rocky Myers",4.0,"Action, Adventure, Fantasy",93 min 
51,586,1371,Blind,2015,Eskil Vogt,"Ellen Dorrit Petersen,Vera Vitali,Henrik Rafaelsen,Marius Kolbenstvedt",3.5,Drama,,96 minutes,Blind,2011,Sang-hoon Ahn,"HaNeul Kim, Seung-ho Yoo, Hie-bong Jo",6.9,"Action, Crime, Drama",111 min 
52,593,1163,Spy,2015,Paul Feig,"Melissa McCarthy,Jude Law,Jason Statham,Rose Byrne,Miranda Hart,Allison Janney,Bobby Cannavale,50 Cent,Morena Baccarin,Will Yun Lee",3.0,"Action, Comedy",Rated R,120 minutes,Spy,2011,Alexander Klymko,"Vincent Pastore, Ben Curtis, Lora Kojovic",6.4,"Action, Crime, Drama",110 min 
53,595,3787,The Stranger,2015,Guillermo Amoedo,"Lorenza Izzo,Ariel Levy,Aaron Burns,Cristobal Tapia Montt,Luis Gnecco,Sally Rose",1.0,"Drama, Horror, Mystery, Thriller",Rated NR,93 minutes,The Stranger,1995,Fritz Kiersch,"Kathy Long, Andrew Divoff, Eric Pierpoint",3.5,Action,98 min 
54,625,64,Slow West,2015,John Maclean,"Michael Fassbender,Ben Mendelsohn,Kodi Smit-McPhee,Caren Pistorius,Rory McCann",1.5,"Action, Thriller, Western",Rated R,84 minutes,Slow West,2015,John Maclean,"Kodi Smit-McPhee, Michael Fassbender, Ben Mendelsohn",7.0,"Action, Thriller, Western",84 min 
55,626,5623,Animals,2015,Collin Schiffli,"David Dastmalchian,Kim Shaw,John Heard,John Hoogenakker,Shon McGregory,Ilyssa Fradin",3.0,Drama,Rated NR,90 minutes,Animal,1977,Claude Zidi,"Jean-Paul Belmondo, Raquel Welch, Dany Saval",6.7,"Action, Comedy, Romance",91 min 
56,632,1742,Paul Blart: Mall Cop 2,2015,Andy Fickman,"Kevin James,Raini Rodriguez,Eduardo Verástegui,Daniella Alonso,Neal McDonough,David Henrie,D. B. Woodside,Nicholas Turturro",0.0,Comedy,Rated PG,94 minutes,Paul Blart: Mall Cop,2009,Steve Carr,"Kevin James, Keir O'Donnell, Jayma Mays",5.2,"Action, Comedy, Crime",91 min 
57,645,30,The Gunman,2015,Pierre Morel,"Sean Penn,Javier Bardem,Ray Winstone,Jasmine Trinca,Peter Franzén",2.0,"Action, Crime, Drama, Thriller",Rated R,115 minutes,The Gunman,2015,Pierre Morel,"Sean Penn, Idris Elba, Jasmine Trinca",5.8,"Action, Crime, Drama",115 min 
58,650,239,Everly,2015,Joe Lynch,"Salma Hayek,Jennifer Blanc,Hiroyuki Watanabe,Togo Igawa,Caroline Chikezie,Gabriella Wright,Akie Kotabe",2.0,"Action, Thriller",Rated R,92 minutes,Everly,2014,Joe Lynch,"Salma Hayek, Hiroyuki Watanabe, Laura Cepeda",5.0,"Action, Thriller",92 min 
59,652,338,'71,2015,Yann Demange,"Jack O'Connell,Paul Anderson,Sean Harris,Sam Reid,Sam Hazeldine,Charlie Murphy,David Wilmot,Killian Scott",3.0,"Action, Drama, Thriller, War",Rated R,99 minutes,'71,2014,Yann Demange,"Jack O'Connell, Sam Reid, Sean Harris",7.2,"Action, Drama, Thriller",99 min 
60,663,46,Kidnapping Mr. Heineken,2015,Daniel Alfredson,"Anthony Hopkins,Jim Sturgess,Sam Worthington,Ryan Kwanten,Mark van Eeuwen,Thomas Cocquerel",1.0,"Action, Crime, Drama, Thriller",Rated R,,Kidnapping Mr. Heineken,2015,Daniel Alfredson,"Jim Sturgess, Sam Worthington, Ryan Kwanten",6.1,"Action, Crime, Drama",95 min 
61,666,3204,The Wrecking Crew,2015,Denny Tedesco,"Lou Adler,Herb Alpert,Hal Blaine,Sonny Bono,James Burton,Glen Campbell,Al Casey,Dick Clark,Sam Cooke,Sammy Davis Jr.,The Beach Boys",2.5,Documentary,Rated PG,101 minutes,The Wrecking Crew,2000,Albert Pyun,"Ice-T, Ernie Hudson Jr., T.J. Storm",4.2,"Action, Crime, Drama",80 min 
62,666,6241,The Wrecking Crew,2015,Denny Tedesco,"Lou Adler,Herb Alpert,Hal Blaine,Sonny Bono,James Burton,Glen Campbell,Al Casey,Dick Clark,Sam Cooke,Sammy Davis Jr.,The Beach Boys",2.5,Documentary,Rated PG,101 minutes,The Wrecking Crew,1968,Phil Karlson,"Dean Martin, Elke Sommer, Sharon Tate",5.8,"Action, Adventure, Comedy",105 min 
63,672,15,Run All Night,2015,Jaume Collet-Serra,"Liam Neeson,Joel Kinnaman,Ed Harris,Génesis Rodríguez,Vincent D'Onofrio,Common,Boyd Holbrook,Holt McCallany",3.0,"Action, Crime, Drama, Mystery, Thriller",Rated R,114 minutes,Run All Night,2015,Jaume Collet-Serra,"Liam Neeson, Ed Harris, Joel Kinnaman",6.6,"Action, Crime, Drama",114 min 
64,705,28,Last Knights,2015,Kazuaki Kiriya,"Clive Owen,Morgan Freeman,Aksel Hennie",1.5,"Action, Adventure",Rated R,115 minutes,Last Knights,2015,Kazuaki Kiriya,"Clive Owen, Morgan Freeman, Aksel Hennie",6.2,"Action, Adventure",115 min 
65,713,307,Kill Me Three Times,2015,Kriv Stenders,"Simon Pegg,Teresa Palmer,Luke Hemsworth,Sullivan Stapleton,Alice Braga,Callan Mulvey",1.0,Thriller,Rated R,90 minutes,Kill Me Three Times,2014,Kriv Stenders,"Simon Pegg, Teresa Palmer, Alice Braga",5.9,"Action, Comedy, Thriller",90 min 
66,719,4861,The Squeeze,2015,Terry Jastrow,"Jeremy Sumpter,Jason Dohring,Katherine LaNasa,Michael Nouri,Christopher McDonald",1.5,"Comedy, Drama",Rated PG-13,95 minutes,The Squeeze,1987,Roger Young,"Michael Keaton, Rae Dawn Chong, Ric Abernathy",4.5,"Action, Comedy, Crime",101 min 
67,720,510,Roar,2015,Noel Marshall,"Tippi Hedren,Melanie Griffith,Jerry Marshall,Kyalo Mativo,Rick Glassey,Steve Miller,Noel Marshall",2.5,"Adventure, Thriller",Rated PG,102 minutes,Roar,2014,Kamal Sadanah,"Aadil Chahal, Aaran Chaudhary, Pranay Dixit",5.8,"Action, Adventure, Thriller",123 min 
68,721,440,The Dead Lands,2015,Toa Fraser,"James Rolleston,Lawrence Makoare,Te Kohe Tuhaka,Xavier Horan",2.0,Action,Rated R,107 minutes,The Dead Lands,2014,Toa Fraser,"James Rolleston, Lawrence Makoare, Te Kohe Tuhaka",6.3,Action,107 min 
69,742,316,Taken 3,2015,Oliver Megaton,"Liam Neeson,Famke Janssen,Maggie Grace,Forest Whitaker,Dougray Scott",1.5,"Action, Crime, Thriller",Rated PG-13,109 minutes,Taken 3,2014,Olivier Megaton,"Liam Neeson, Forest Whitaker, Maggie Grace",6.0,"Action, Thriller",109 min 
70,745,370,A Most Violent Year,2014,J.C. Chandor,"Oscar Isaac,Jessica Chastain,Albert Brooks,Elyes Gabel,David Oyelowo,Alessandro Nivola,Catalina Sandino Moreno",3.0,"Action, Crime, Drama, Thriller",Rated R,125 minutes,A Most Violent Year,2014,J.C. Chandor,"Oscar Isaac, Jessica Chastain, David Oyelowo",7.1,"Action, Crime, Drama",125 min 
71,747,34,Blackhat,2015,Michael Mann,"Chris Hemsworth,Viola Davis,Tang Wei,Leehom Wang,Manny Montana,William Mapother",3.5,"Action, Crime, Thriller",Rated R,135 minutes,Blackhat,2015,Michael Mann,"Chris Hemsworth, Viola Davis, Wei Tang",5.4,"Action, Crime, Drama",133 min 
72,751,87,Vice,2015,Brian A Miller,"Ambyr Childers,Bruce Willis,Thomas Jane,Bryan Greenberg",1.0,"Action, Adventure, Science Fiction",Rated R,96 minutes,Vice,2015,Brian A Miller,"Thomas Jane, Bruce Willis, Ambyr Childers",4.1,"Action, Adventure, Sci-Fi",96 min 
73,759,1011,Gangs of Wasseypur,2015,Anurag Kashyap,"Manoj Bajpai,Tigmanshu Dhulia,Nawazuddin Siddiqui,Richa Chadda",4.0,"Action, Crime, Thriller",,320 minutes,Gangs of Wasseypur,2012,Anurag Kashyap,"Manoj Bajpayee, Richa Chadda, Nawazuddin Siddiqui",8.4,"Action, Crime, Drama",320 min 
74,772,52,Mortdecai,2015,David Koepp,"Johnny Depp,Olivia Munn,Gwyneth Paltrow,Ewan McGregor,Jeff Goldblum,Paul Bettany",0.5,"Adventure, Comedy",Rated R,106 minutes,Mortdecai,2015,David Koepp,"Johnny Depp, Gwyneth Paltrow, Ewan McGregor",5.5,"Action, Comedy, Mystery",107 min 
