#key=_id
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
#ltable=POINTER
_id,ltable.id,rtable.id,ltable.movie_name,ltable.year,ltable.directors,ltable.actors,ltable.critic_rating,ltable.genre,ltable.pg_rating,ltable.duration,rtable.movie_name,rtable.year,rtable.directors,rtable.actors,rtable.movie_rating,rtable.genre,rtable.duration,gold
43,473,497,A Hard Day,2015,Kim Seong-Hun,"Lee Sun-Kyun,Jo Jin-woong,Jeong Man-sik,Kim Dong-yeong",3,"Action, Crime, Thriller",,111 minutes,A Hard Day,2014,Seong-hoon Kim,"Sun-kyun Lee, Jang In-sub, Man-shik Jeong",7.2,"Action, Crime, Thriller",111 min,1
45,499,2417,Fantastic Four,2015,Josh Trank,"Miles Teller,Kate Mara,Jamie Bell,Michael B. Jordan,Toby Kebbell,Tim Blake Nelson,Reg E. Cathey",1.5,"Action, Adventure, Science Fiction",Rated PG-13,100 minutes,Fantastic Four,2005,Tim Story,"Ioan Gruffudd, Michael Chiklis, Chris Evans",5.7,"Action, Adventure, Sci-Fi",106 min,0
46,503,635,The Young and Prodigious T.S. Spivet,2015,Jean-Pierre Jeunet,"Kyle Catlett,Helena Bonham-Carter,Judy Davis,Callum Keith Rennie,Niamh Wilson,Jakob Davies,Rick Mercer,Robert Maillet,Julian Richings,Dominique Pinon",2.5,"Adventure, Drama, Family",Rated G,105 minutes,The Young and Prodigious T.S. Spivet,2013,Jean-Pierre Jeunet,"Kyle Catlett, Helena Bonham Carter, Judy Davis",7.1,"Action, Adventure, Drama",105 min,1
47,543,221,Skin Trade,2015,Ekachai Uekrongtham,"Ron Perlman,Tony Jaa,Dolph Lundgren,Celina Jade,Michael Jai White,Peter Weller",3,"Action, Crime, Thriller",Rated R,96 minutes,Skin Trade,2014,Ekachai Uekrongtham,"Dolph Lundgren, Tony Jaa, Ron Perlman",5.7,"Action, Crime, Thriller",96 min,1
48,551,780,Police Story: Lockdown,2015,Ding Sheng,"Jackie Chan,Liu Ye,Jing Tian",3,"Action, Crime, Drama, Thriller",,110 minutes,Police Story: Lockdown,2013,Sheng Ding,"Jackie Chan, Ye Liu, Tian Jing",6.1,"Action, Crime, Drama",110 min,1
49,582,67,Survivor,2015,James McTeigue,"Milla Jovovich,Pierce Brosnan,Dylan McDermott,Angela Bassett,Robert Forster,James D'Arcy,Roger Rees,Genevieve O'Reilly,Frances de la Tour,Sonya Cassidy",2,"Action, Thriller",Rated PG-13,96 minutes,Survivor,2015,James McTeigue,"Dylan McDermott, Royce Pierreson, Ben Starr",5.6,"Action, Crime, Thriller",96 min,1
50,582,423,Survivor,2015,James McTeigue,"Milla Jovovich,Pierce Brosnan,Dylan McDermott,Angela Bassett,Robert Forster,James D'Arcy,Roger Rees,Genevieve O'Reilly,Frances de la Tour,Sonya Cassidy",2,"Action, Thriller",Rated PG-13,96 minutes,Survivor,2014,John Lyde,"Danielle Chuchran, Kevin Sorbo, Rocky Myers",4,"Action, Adventure, Fantasy",93 min,0
51,586,1371,Blind,2015,Eskil Vogt,"Ellen Dorrit Petersen,Vera Vitali,Henrik Rafaelsen,Marius Kolbenstvedt",3.5,Drama,,96 minutes,Blind,2011,Sang-hoon Ahn,"HaNeul Kim, Seung-ho Yoo, Hie-bong Jo",6.9,"Action, Crime, Drama",111 min,0
52,593,1163,Spy,2015,Paul Feig,"Melissa McCarthy,Jude Law,Jason Statham,Rose Byrne,Miranda Hart,Allison Janney,Bobby Cannavale,50 Cent,Morena Baccarin,Will Yun Lee",3,"Action, Comedy",Rated R,120 minutes,Spy,2011,Alexander Klymko,"Vincent Pastore, Ben Curtis, Lora Kojovic",6.4,"Action, Crime, Drama",110 min,0
53,595,3787,The Stranger,2015,Guillermo Amoedo,"Lorenza Izzo,Ariel Levy,Aaron Burns,Cristobal Tapia Montt,Luis Gnecco,Sally Rose",1,"Drama, Horror, Mystery, Thriller",Rated NR,93 minutes,The Stranger,1995,Fritz Kiersch,"Kathy Long, Andrew Divoff, Eric Pierpoint",3.5,Action,98 min,0
54,625,64,Slow West,2015,John Maclean,"Michael Fassbender,Ben Mendelsohn,Kodi Smit-McPhee,Caren Pistorius,Rory McCann",1.5,"Action, Thriller, Western",Rated R,84 minutes,Slow West,2015,John Maclean,"Kodi Smit-McPhee, Michael Fassbender, Ben Mendelsohn",7,"Action, Thriller, Western",84 min,1
55,626,5623,Animals,2015,Collin Schiffli,"David Dastmalchian,Kim Shaw,John Heard,John Hoogenakker,Shon McGregory,Ilyssa Fradin",3,Drama,Rated NR,90 minutes,Animal,1977,Claude Zidi,"Jean-Paul Belmondo, Raquel Welch, Dany Saval",6.7,"Action, Comedy, Romance",91 min,0
57,645,30,The Gunman,2015,Pierre Morel,"Sean Penn,Javier Bardem,Ray Winstone,Jasmine Trinca,Peter Franzn",2,"Action, Crime, Drama, Thriller",Rated R,115 minutes,The Gunman,2015,Pierre Morel,"Sean Penn, Idris Elba, Jasmine Trinca",5.8,"Action, Crime, Drama",115 min,1
58,650,239,Everly,2015,Joe Lynch,"Salma Hayek,Jennifer Blanc,Hiroyuki Watanabe,Togo Igawa,Caroline Chikezie,Gabriella Wright,Akie Kotabe",2,"Action, Thriller",Rated R,92 minutes,Everly,2014,Joe Lynch,"Salma Hayek, Hiroyuki Watanabe, Laura Cepeda",5,"Action, Thriller",92 min,1
59,652,338,'71,2015,Yann Demange,"Jack O'Connell,Paul Anderson,Sean Harris,Sam Reid,Sam Hazeldine,Charlie Murphy,David Wilmot,Killian Scott",3,"Action, Drama, Thriller, War",Rated R,99 minutes,'71,2014,Yann Demange,"Jack O'Connell, Sam Reid, Sean Harris",7.2,"Action, Drama, Thriller",99 min,1
60,663,46,Kidnapping Mr. Heineken,2015,Daniel Alfredson,"Anthony Hopkins,Jim Sturgess,Sam Worthington,Ryan Kwanten,Mark van Eeuwen,Thomas Cocquerel",1,"Action, Crime, Drama, Thriller",Rated R,,Kidnapping Mr. Heineken,2015,Daniel Alfredson,"Jim Sturgess, Sam Worthington, Ryan Kwanten",6.1,"Action, Crime, Drama",95 min,1
61,666,3204,The Wrecking Crew,2015,Denny Tedesco,"Lou Adler,Herb Alpert,Hal Blaine,Sonny Bono,James Burton,Glen Campbell,Al Casey,Dick Clark,Sam Cooke,Sammy Davis Jr.,The Beach Boys",2.5,Documentary,Rated PG,101 minutes,The Wrecking Crew,2000,Albert Pyun,"Ice-T, Ernie Hudson Jr., T.J. Storm",4.2,"Action, Crime, Drama",80 min,0
63,672,15,Run All Night,2015,Jaume Collet-Serra,"Liam Neeson,Joel Kinnaman,Ed Harris,Gnesis Rodrguez,Vincent D'Onofrio,Common,Boyd Holbrook,Holt McCallany",3,"Action, Crime, Drama, Mystery, Thriller",Rated R,114 minutes,Run All Night,2015,Jaume Collet-Serra,"Liam Neeson, Ed Harris, Joel Kinnaman",6.6,"Action, Crime, Drama",114 min,1
64,705,28,Last Knights,2015,Kazuaki Kiriya,"Clive Owen,Morgan Freeman,Aksel Hennie",1.5,"Action, Adventure",Rated R,115 minutes,Last Knights,2015,Kazuaki Kiriya,"Clive Owen, Morgan Freeman, Aksel Hennie",6.2,"Action, Adventure",115 min,1
65,713,307,Kill Me Three Times,2015,Kriv Stenders,"Simon Pegg,Teresa Palmer,Luke Hemsworth,Sullivan Stapleton,Alice Braga,Callan Mulvey",1,Thriller,Rated R,90 minutes,Kill Me Three Times,2014,Kriv Stenders,"Simon Pegg, Teresa Palmer, Alice Braga",5.9,"Action, Comedy, Thriller",90 min,1
66,719,4861,The Squeeze,2015,Terry Jastrow,"Jeremy Sumpter,Jason Dohring,Katherine LaNasa,Michael Nouri,Christopher McDonald",1.5,"Comedy, Drama",Rated PG-13,95 minutes,The Squeeze,1987,Roger Young,"Michael Keaton, Rae Dawn Chong, Ric Abernathy",4.5,"Action, Comedy, Crime",101 min,0
67,720,510,Roar,2015,Noel Marshall,"Tippi Hedren,Melanie Griffith,Jerry Marshall,Kyalo Mativo,Rick Glassey,Steve Miller,Noel Marshall",2.5,"Adventure, Thriller",Rated PG,102 minutes,Roar,2014,Kamal Sadanah,"Aadil Chahal, Aaran Chaudhary, Pranay Dixit",5.8,"Action, Adventure, Thriller",123 min,0
68,721,440,The Dead Lands,2015,Toa Fraser,"James Rolleston,Lawrence Makoare,Te Kohe Tuhaka,Xavier Horan",2,Action,Rated R,107 minutes,The Dead Lands,2014,Toa Fraser,"James Rolleston, Lawrence Makoare, Te Kohe Tuhaka",6.3,Action,107 min,1
69,742,316,Taken 3,2015,Oliver Megaton,"Liam Neeson,Famke Janssen,Maggie Grace,Forest Whitaker,Dougray Scott",1.5,"Action, Crime, Thriller",Rated PG-13,109 minutes,Taken 3,2014,Olivier Megaton,"Liam Neeson, Forest Whitaker, Maggie Grace",6,"Action, Thriller",109 min,1
70,745,370,A Most Violent Year,2014,J.C. Chandor,"Oscar Isaac,Jessica Chastain,Albert Brooks,Elyes Gabel,David Oyelowo,Alessandro Nivola,Catalina Sandino Moreno",3,"Action, Crime, Drama, Thriller",Rated R,125 minutes,A Most Violent Year,2014,J.C. Chandor,"Oscar Isaac, Jessica Chastain, David Oyelowo",7.1,"Action, Crime, Drama",125 min,1
71,747,34,Blackhat,2015,Michael Mann,"Chris Hemsworth,Viola Davis,Tang Wei,Leehom Wang,Manny Montana,William Mapother",3.5,"Action, Crime, Thriller",Rated R,135 minutes,Blackhat,2015,Michael Mann,"Chris Hemsworth, Viola Davis, Wei Tang",5.4,"Action, Crime, Drama",133 min,1
72,751,87,Vice,2015,Brian A Miller,"Ambyr Childers,Bruce Willis,Thomas Jane,Bryan Greenberg",1,"Action, Adventure, Science Fiction",Rated R,96 minutes,Vice,2015,Brian A Miller,"Thomas Jane, Bruce Willis, Ambyr Childers",4.1,"Action, Adventure, Sci-Fi",96 min,1
73,759,1011,Gangs of Wasseypur,2015,Anurag Kashyap,"Manoj Bajpai,Tigmanshu Dhulia,Nawazuddin Siddiqui,Richa Chadda",4,"Action, Crime, Thriller",,320 minutes,Gangs of Wasseypur,2012,Anurag Kashyap,"Manoj Bajpayee, Richa Chadda, Nawazuddin Siddiqui",8.4,"Action, Crime, Drama",320 min,1
74,772,52,Mortdecai,2015,David Koepp,"Johnny Depp,Olivia Munn,Gwyneth Paltrow,Ewan McGregor,Jeff Goldblum,Paul Bettany",0.5,"Adventure, Comedy",Rated R,106 minutes,Mortdecai,2015,David Koepp,"Johnny Depp, Gwyneth Paltrow, Ewan McGregor",5.5,"Action, Comedy, Mystery",107 min,1
75,773,317,Son of a Gun,2015,Julius Avery,"Ewan McGregor,Brenton Thwaites,Alicia Vikander,Matthew Nable,Damon Herriman",2.5,"Action, Crime, Drama",Rated NR,108 minutes,Son of a Gun,2014,Julius Avery,"Ewan McGregor, Brendan Kerkvliet, Brenton Thwaites",6.5,"Action, Crime, Drama",108 min,1
77,780,2827,Wild Card,2015,Simon West,"Jason Statham,Sofa Vergara,Angela Kerecz,Stanley Tucci,Milo Ventimiglia,Anne Heche,Michael Angarano,Jason Alexander",2.5,"Crime, Drama, Thriller",Rated R,92 minutes,Wild Card,2003,Yoo-jin Kim,"Dong-kun Yang, Jin-yeong Jeong, Chae-young Han",6.7,"Action, Crime",117 min,0
78,786,220,Outcast,2015,Nick Powell,"Nicolas Cage,Hayden Christensen,Liu Yifei,Andy On,Fernando Chien",1,"Action, Adventure",Rated NR,98 minutes,Outcast,2014,Nick Powell,"Nicolas Cage, Hayden Christensen, Alexandre Bailly",4.6,"Action, Adventure",99 min,1
79,790,204,Seventh Son,2015,Sergey Bodrov,"Jeff Bridges,Julianne Moore,Ben Barnes,Alicia Vikander,Kit Harington,Djimon Hounsou,Olivia Williams",2.5,"Adventure, Family, Fantasy",Rated PG-13,102 minutes,Seventh Son,2014,Sergey Bodrov,"Ben Barnes, Julianne Moore, Jeff Bridges",5.5,"Action, Adventure, Fantasy",102 min,1
80,835,499,V/H/S: Viral,2014,"Justin Benson,Gregg Bishop,Aaron Moorhead,Marcel Sarmiento,Nacho Vigalondo","Justin Welborn,Emmy Argo,Gustavo Salmern,Emilia Ares Zoryan",1,"Horror, Thriller",Rated R,82 minutes,V/H/S: Viral,2014,Justin Benson,"Patrick Lawrie, Emilia Ares Zoryan, Celia K. Milius",4.2,"Action, Horror, Thriller",81 min,1
81,859,319,Happy New Year,2014,Farah Khan,"Shahrukh Khan,Deepika Padukone,Abhishek Bachchan,Jackie Shroff,Boman Irani,Sonu Sood",2.5,"Action, Comedy, Drama, Romance",,180 minutes,Happy New Year,2014,Farah Khan,"Shah Rukh Khan, Deepika Padukone, Abhishek Bachchan",5.5,"Action, Comedy, Crime",180 min,1
82,860,215,Revenge of the Green Dragons,2014,"Andrew Lau Wai-Keung,Andrew Loo","Justin Chon,Kevin Wu,Harry Shum Jr.,Ray Liotta",1.5,"Action, Crime, Drama",Rated R,94 minutes,Revenge of the Green Dragons,2014,Wai-Keung Lau,"Justin Chon, Kevin Wu, Harry Shum Jr.",5.2,"Action, Crime, Drama",94 min,1
84,907,313,Open Windows,2014,Nacho Vigalondo,"Elijah Wood,Sasha Grey,Neil Maskell,Nacho Vigalondo,Scott Weinberg",3,"Action, Crime, Suspense",Rated NR,100 minutes,Open Windows,2014,Nacho Vigalondo,"Sasha Grey, Elijah Wood, Neil Maskell",5.2,"Action, Crime, Thriller",100 min,1
85,917,216,Wolves,2014,David Hayter,"Jason Momoa,Lucas Till,John Pyper-Ferguson,Stephen McHattie,Merritt Patterson",2,"Action, Horror",Rated R,90 minutes,Wolves,2014,David Hayter,"Lucas Till, Stephen McHattie, John Pyper-Ferguson",5.2,"Action, Horror",91 min,1
86,933,2252,The Drop,2014,Michal R. Roskam,"Tom Hardy,Noomi Rapace,James Gandolfini,John Ortiz,Ann Dowd",3,"Crime, Drama",Rated R,106 minutes,The Drop,2006,Kevin Lewis,"John Savage, Sean Young, Michael Bondies",2.4,"Action, Adventure, Fantasy",88 min,0
88,957,345,Young Ones,2014,Jake Paltrow,"Nicholas Hoult,Elle Fanning,Michael Shannon,Kodi Smit-McPhee",1.5,"Action, Drama, Science Fiction",Rated R,100 minutes,Young Ones,2014,Jake Paltrow,"Nicholas Hoult, Kodi Smit-McPhee, Michael Shannon",5.9,"Action, Drama, Sci-Fi",100 min,1
90,983,320,Left Behind,2014,Vic Armstrong,"Nicolas Cage,Lea Thompson,Chad Michael Murray,Nicky Whelan,Jordin Sparks,Martin Klebba,Cassi Thompson",1,"Action, Science Fiction",Rated PG-13,105 minutes,Left Behind,2014,Vic Armstrong,"Nicolas Cage, Lea Thompson, Cassi Thomson",3.1,"Action, Sci-Fi, Thriller",110 min,1
92,1009,286,Falcon Rising,2014,Ernie Barbarash,"Michael Jai White,Neal McDonough,Laila Ali,Lateef Crowder,Hazuki Kato",3,"Action, Drama",Rated R,103 minutes,Falcon Rising,2014,Ernie Barbarash,"Neal McDonough, Michael Jai White, Lateef Crowder",5.7,"Action, Adventure",103 min,1
93,1019,209,Hercules,2014,Brett Ratner,"Dwayne Johnson,John Hurt,Ian McShane,Rufus Sewell,Aksel Hennie,Ingrid Bols Berdal,Joseph Fiennes",1,"Action, Adventure",Rated PG-13,98 minutes,Hercules,2014,Brett Ratner,"Dwayne Johnson, John Hurt, Ian McShane",6.1,"Action, Adventure",98 min,1
94,1033,309,Rage,2014,Paco Cabezas,"Nicolas Cage,Rachel Nichols,Aubrey Peeples,Danny Glover,Peter Stormare",1,"Action, Crime, Thriller",Rated NR,92 minutes,Rage,2014,Paco Cabezas,"Nicolas Cage, Rachel Nichols, Max Ryan",5,"Action, Crime, Thriller",92 min,1
96,1033,3631,Rage,2014,Paco Cabezas,"Nicolas Cage,Rachel Nichols,Aubrey Peeples,Danny Glover,Peter Stormare",1,"Action, Crime, Thriller",Rated NR,92 minutes,Rage,1997,Slobodan Skerlic,"Lazar Ristovski, Nikola Djuricko, Nebojsa Glogovac",6.8,Action,97 min,0
97,1033,3632,Rage,2014,Paco Cabezas,"Nicolas Cage,Rachel Nichols,Aubrey Peeples,Danny Glover,Peter Stormare",1,"Action, Crime, Thriller",Rated NR,92 minutes,Rage,1997,Slobodan Skerlic,"Lazar Ristovski, Nikola Djuricko, Nebojsa Glogovac",6.8,Action,97 min,0
99,1033,3862,Rage,2014,Paco Cabezas,"Nicolas Cage,Rachel Nichols,Aubrey Peeples,Danny Glover,Peter Stormare",1,"Action, Crime, Thriller",Rated NR,92 minutes,Rage,1995,Joseph Merhi,"Gary Daniels, Kenneth Tigar, Fiona Hutchison",5.4,"Action, Thriller",94 min,0
