ID,Title,Year,Director,Cast,Genre,Duration
50,december boys,2007.0,rod hardy,"daniel radcliffe,lee cormie,christian byers,james fraser,teresa palmer,victoria hill","drama, foreign, romance",105 minutes
51,good luck chuck,2007.0,mark helfrich,"dane cook,jessica alba,dan fogler,michelle harrison,ellia english,sasha pieterse","comedy, drama, fantasy, romance",101 minutes
52,the lives of others,2007.0,"florian henckel, florian henckel","ulrich muehe,sebastian koch,martina gedeck,ulrich tukur,thomas thieme,hans uwe bauer","action, drama, foreign, thriller",137 minutes
53,babel,2006.0,alejandro gonzalez inarritu,,"drama, indie",143 minutes
54,dedication,2007.0,justin theroux,"billy crudup,mandy moore,tom wilkinson,martin freeman,bob balaban,dianne wiest,bobby cannavale,amy sedaris,peter bogdanovich","comedy, drama, indie, romance",95 minutes
55,jane austen book club,2007.0,robin swicord,"kathy baker,maria bello,emily blunt,amy brenneman,hugh dancy,maggie grace,lynn redgrave,jimmy smits,nancy travis","comedy, drama, romance",106 minutes
56,king of california,2007.0,michael cahill,"michael douglas,evan rachel wood,willis burks ii,greg davis jr.,gerald emerick","comedy, indie",96 minutes
57,harry potter and the order of the phoenix,2007.0,david yates,"daniel radcliffe,rupert grint,emma watson,maggie smith,michael gambon,alan rickman,imelda staunton,helena bonham-carter,robbie coltrane,ralph fiennes,gary oldman,brendan gleeson,richard griffiths,jason isaacs","adventure, family, fantasy, science fiction",138 minutes
58,cabiria,1914.0,giovanni pastrone,,"drama, foreign, history",148 minutes
59,the devil wears prada,2006.0,david frankel,"meryl streep,anne hathaway,emily blunt,stanley tucci,adrian grenier,tracie thoms,simon baker",comedy,109 minutes
60,"you, me and dupree",2006.0,"anthony russo,joe russo","owen wilson,matt dillon,kate hudson,michael douglas,amanda detmer,seth rogen","comedy, romance",108 minutes
61,lady in the water,2006.0,m. night shyamalan,"paul giamatti,bryce dallas howard,jeffrey wright,bob balaban,m. night shyamalan,cindy cheung","comedy, drama, fantasy, horror, mystery, science fiction, thriller",110 minutes
62,john tucker must die,2006.0,betty thomas,"jesse metcalfe,brittany snow,ashanti,sophia bush,arrielle kebbel,penn badgley,jenny mccarthy,fatso-fasano","comedy, family, romance",89 minutes
63,scoop,2006.0,woody allen,,"comedy, drama, foreign, mystery, romance, science fiction, thriller",96 minutes
64,talladega nights: the ballad of ricky bobby,2005.0,adam mckay,"will ferrell,john c. reilly,sacha baron cohen,gary cole,michael clarke duncan,leslie bibb,jane lynch,amy adams,andy richter,molly shannon","action, comedy",108 minutes
65,the descent,2006.0,neil marshall,"shauna macdonald,natalie mendoza,alex reid,saskia mulder,myanna buring,nora-jane noone","adventure, foreign, horror",99 minutes
66,little miss sunshine,2006.0,"jonathan dayton,valerie farris","greg kinnear,steve carell,toni collette,alan arkin,abigail breslin,paul dano","comedy, drama, indie",102 minutes
67,the night listener,2006.0,patrick stettner,"robin williams,toni collette,rory culkin,sandra oh","drama, indie, thriller",91 minutes
68,world trade center,2006.0,oliver stone,"nicolas cage,maria bello,michael pena,maggie gyllenhaal,stephen dorff,jay hernandez,patti d'arbanville","action, disaster, drama, history",128 minutes
69,quinceañera,2006.0,,"emily rios,jesse garcia,chalo gonzalez,david w. ross,j.r. cruz,araceli guzman-rico,jesus castanos-chima,johnny chavez,alicia sixtos",drama,
70,the illusionist,2006.0,neil burger,"edward norton,paul giamatti,jessica biel","drama, fantasy, romance, thriller",110 minutes
71,boynton beach club,2006.0,susan seidelman,"joseph bologna,dyan cannon,len cariou,sally kellerman,michael nouri,brenda vaccaro,renee taylor","comedy, drama, indie, romance",105 minutes
72,marie antoinette,2006.0,sofia coppola,"kirsten dunst,jason schwartzman,judy davis,rip torn,rose byrne,asia argento,molly shannon,shirley henderson","drama, history, romance",123 minutes
73,factotum,2006.0,bent hamer,"matt dillon,lili taylor,marisa tomei,fisher stevens,didier flamand","comedy, drama, indie, romance",94 minutes
74,rescue dawn,2007.0,werner herzog,"christian bale,steve zahn,jeremy davies,zach grenier","action, adventure, drama, history, indie",126 minutes
75,conversations with other women,2006.0,,"helena bonham-carter,aaron eckhart,nora zehetner,erik eidem,olivia wilde,thomas lennon,cerina vincent,brianna brown,brian geraghty","comedy, drama, indie, romance",84 minutes
76,half nelson,2006.0,ryan fleck,"ryan gosling,shareeka epps,anthony mackie,karen chilton","drama, indie",107 minutes
77,this film is not yet rated,2006.0,kirby dick,,documentary,97 minutes
78,the science of sleep,2006.0,michel gondry,"gael garcia bernal,charlotte gainsbourg,alain chabat,miou-miou,pierre vaneck","comedy, drama, fantasy, foreign, romance, science fiction",105 minutes
79,the u.s. vs. john lennon,2006.0,"david leaf, john scheinfeld",,"documentary, indie, music",99 minutes
80,shortbus,2006.0,john cameron mitchell,"sook-yin lee,paul dawson,pj deboy,raphael barker,peter stickles,jay brannan","drama, indie, romance",101 minutes
81,the queen,2006.0,stephen frears,"helen mirren,michael sheen,james cromwell,sylvia syms,paul barrett,helen mccrory","drama, foreign",103 minutes
82,little children,2006.0,todd field,"kate winslet,jennifer connelly,patrick wilson,jackie earle haley,noah emmerich,gregg edelman","comedy, drama, indie, romance",136 minutes
83,infamous,2006.0,douglas mcgrath,"toby jones,sandra bullock,daniel craig,lee pace,juliet stevenson,sigourney weaver,jeff daniels,peter bogdanovich,hope davis,gwyneth paltrow,isabella rossellini",drama,110 minutes
84,man push cart,2006.0,ramin bahrani,"ahmad razvi,leticia dolera,charles daniel sandoval,ali reza","drama, indie",87 minutes
85,the bridge,2006.0,eric steel,,documentary,93 minutes
86,old joy,2006.0,kelly reichart,"will oldham,daniel london,tanya smith","drama, indie",73 minutes
87,49 up,2006.0,michael apted,,"documentary, foreign",180 minutes
88,stranger than fiction,2006.0,marc forster,"will ferrell,emma thompson,maggie gyllenhaal,dustin hoffman,queen latifah,linda hunt","comedy, drama, fantasy, romance, science fiction",113 minutes
89,borat: cultural learnings of america for make benefit glorious nation of kazakhstan,2006.0,larry charles,"sacha baron cohen,ken vavitian,herself",comedy,82 minutes
90,51 birch street,2006.0,doug block,,documentary,90 minutes
91,fur: an imaginary portrait of diane arbus,2006.0,steven shainberg,"nicole kidman,robert downey jr.,ty burrell","drama, mystery, romance",122 minutes
92,for your consideration,2006.0,christopher guest,"catherine o'hara,harry shearer,bob balaban,ricky gervais,christopher guest,eugene levy,michael mckean,parker posey,fred willard","comedy, documentary, drama",86 minutes
93,jonestown: the life and death of peoples temple,2006.0,stanley nelson,,"documentary, history",86 minutes
94,volver,2006.0,pedro almodovar,"penelope cruz,carmen maura,lola duenas,blanca portillo,yohana cobo","comedy, drama, foreign, romance",121 minutes
95,the good shepherd,2006.0,robert de niro,"matt damon,angelina jolie,alec baldwin,billy crudup,robert de niro,keir dullea","action, drama, thriller",167 minutes
96,perfume: the story of a murderer,2007.0,tom tykwer,"ben whishaw,dustin hoffman,alan rickman,john hurt,rachel hurd-wood,karoline herfurth,david calder","drama, fantasy, foreign",147 minutes
97,letters from iwo jima,2007.0,clint eastwood,"ken watanabe,kazunari ninomiya,tsuyoshi ihara,ryo kase,shidou nakamura","action, adventure, drama, foreign, war",141 minutes
98,inland empire,2007.0,david lynch,"laura dern,jeremy irons,harry dean stanton,justin theroux,peter j. lucas","drama, indie, mystery, thriller",172 minutes
99,tears of the black tiger,2007.0,wisit sasanatieng,"chartchai ngamsan,stella malucchi,suwinit panjamawat,supakorn kitsuwon,arawat ruangvuth,sombati medhanee","action, drama, foreign, romance, western",110 minutes
100,climates,2007.0,nuri bilge ceylan,"ebru ceylan,nuri bilge ceylan,nazan kirilmis,mehmet eryilmaz,arif asci","drama, foreign, indie, romance",101 minutes
101,days of glory,2007.0,rachid bouchareb,"jamel debbouze,samy naceri,roschdy zem,sami bouajila,bernard blancan",,
102,black snake moan,2007.0,craig brewer,"samuel l. jackson,christina ricci,john cothran jr.,justin timberlake,s. epatha merkerson","drama, indie",116 minutes
103,an unreasonable man,2007.0,"henriette mantel, steve skrovan",,documentary,122 minutes
104,breaking and entering,2007.0,anthony minghella,"jude law,juliette binoche,robin wright penn,vera farmiga,rafi gavron,poppy rogers","drama, foreign, romance",129 minutes
105,the host,2007.0,bong joon-ho,"song kang-ho,byun hee-bong,park hae-il,koa-sung,bae doo-na,scott wilson","comedy, drama, foreign, horror",119 minutes
106,mafioso,2007.0,,,"action, comedy, crime, drama, foreign",105 minutes
107,talk to me,2007.0,kasi lemmons,"don cheadle,chiwetel ejiofor,mike epps,martin sheen,vondie curtis-hall","drama, musical",118 minutes
108,wr: mysteries of the organism,1971.0,dusan makavejev,"milena dravic,jagoda kaloper,ivica vidovic,zoran radmilovic,tuli kupferberg,jackie curtis,michael gelovani","comedy, drama, fantasy",84 minutes
109,sunshine,2007.0,danny boyle,"michelle yeoh,cillian murphy,chris evans,troy garity,rose byrne,cliff curtis,benedict wong,hiroyuki sanada","adventure, foreign, science fiction, thriller",107 minutes
110,interview,2007.0,steve buscemi,"steve buscemi,sienna miller,tara elders,molly griffith","drama, indie",100 minutes
111,goya's ghosts,2007.0,milos forman,"javier bardem,natalie portman,stellan skarsgard,randy quaid,jose luis gomez,michael lonsdale,blanca portillo",drama,114 minutes
112,hairspray,2007.0,adam shankman,"nikki blonsky,john travolta,michelle pfeiffer,christopher walken,amanda bynes,james marsden,queen latifah,zac efron,jerry stiller","comedy, music",115 minutes
113,cashback,2007.0,sean ellis,"sean biggerstaff,emilia fox,shaun evans,michelle ryan,stuart goodwin,michael dixon,michael lambourne,marc pickering","comedy, drama, foreign, romance",102 minutes
114,broken english,2007.0,zoe cassavetes,"parker posey,melvil poupaud,drea de matteo,justin theroux,josh hamilton,tim guinee,gena rowlands,peter bogdanovich,roy thinnes","comedy, drama, indie, romance",97 minutes
115,my best friend,2007.0,patrice leconte,"daniel auteuil,dany boon,julie gayet,julie durand,henri garcin","comedy, drama, foreign, indie",90 minutes
116,vitus,2007.0,fredi m. murer,"julika jenkins,urs jucker,bruno ganz,eleni haupt","drama, foreign, indie, music",100 minutes
117,the simpsons movie,2007.0,david silverman,"dan castellaneta,julie kavner,nancy cartwright,yeardley smith,hank azaria,harry shearer,kelsey grammer,joe mantegna","animation, comedy, family",87 minutes
118,no reservations,2007.0,scott hicks,"catherine zeta-jones,aaron eckhart,abigail breslin,patricia clarkson,bob balaban,brian f. o'byrne","comedy, drama, romance",104 minutes
119,killer of sheep,1977.0,charles burnett,"henry gayle sanders,kaycee moore","drama, indie",83 minutes
120,hot rod,2007.0,akiva schaffer,"andy samberg,jorma taccone,isla fisher,bill hader,ian mcshane,sissy spacek,will arnett,danny mcbride","action, comedy",88 minutes
121,el cantante,2007.0,leon ichaso,"marc anthony,jennifer lopez,john ortiz,manny perez,federico castelluccio,nelson vasquez","drama, music",116 minutes
122,arctic tale,2007.0,sarah robertson,,"documentary, family",86 minutes
123,the real dirt on farmer john,2007.0,,,documentary,82 minutes
124,becoming jane,2007.0,julian jarrold,"anne hathaway,james mcavoy,julie walters,james cromwell,maggie smith,joe anderson","drama, romance",120 minutes
125,stardust,2007.0,matthew vaughn,"claire danes,charlie cox,robert de niro,sienna miller,michelle pfeiffer,jason flemyng,peter o'toole,rupert everett,ian mckellen","action, adventure, comedy, family, fantasy, foreign, romance, science fiction",127 minutes
126,the wind that shakes the barley,2007.0,ken loach,"cillian murphy,padraic delaney,liam cunningham,orla fitzgerald,gerard kearney,william ruane","action, drama, foreign, history",124 minutes
127,color me kubrick,2007.0,brian w. cook,"john malkovich,jim davidson,richard e. grant,william hootkins,marisa berenson,robert powell,ken russell","comedy, drama",86 minutes
128,into great silence,2007.0,philip groning,,"documentary, foreign",76 minutes
129,walking to werner,2007.0,,,,
130,red road,2007.0,andrea arnold,"kate dickie,tony curran,martin compston,nathalie press,andrew armour,john comerford","drama, foreign, indie, thriller",108 minutes
131,the bourne ultimatum,2007.0,paul greengrass,"matt damon,julia stiles,david strathairn,joan allen","action, drama, mystery, thriller",115 minutes
132,rush hour 3,2007.0,brett ratner,"jackie chan,chris tucker,max von sydow,yvan attal,dana ivey,roman polanski","action, adventure, comedy, crime, thriller",91 minutes
133,this is england,2007.0,shane meadows,"thomas turgoose,joe gilgun,stephen graham,andrew shim,jo hartley","crime, drama, foreign, indie",101 minutes
134,fay grim,2007.0,hal hartley,"parker posey,jeff goldblum,james urbaniak,saffron burrows,thomas jay ryan","action, comedy, drama, thriller",118 minutes
135,shrek the third,2007.0,chris miller,"mike myers,eddie murphy,cameron diaz,antonio banderas,justin timberlake,john cleese,julie andrews,rupert everett","adventure, animation, comedy, family, fantasy, science fiction",93 minutes
136,brand upon the brain!,2007.0,guy maddin,"gretchen krich,sullivan brown,maya lawson,katherine e. scharhon,todd moore,andy loviska,kellan larson,erik steffen maahs","drama, fantasy, indie",95 minutes
137,bug,2007.0,william friedkin,"ashley judd,michael shannon,brian f. o'byrne,harry connick jr.","horror, indie, thriller",102 minutes
138,black sheep,2007.0,jonathan king,"nathan meister,peter feeney,danielle mason,oliver driver,tammy davis","comedy, foreign, horror",87 minutes
139,angel-a,2007.0,luc besson,"jamel debbouze,rie rasmussen,gilbert melki,serge riaboukine","comedy, drama, fantasy",91 minutes
140,stephanie daley,2007.0,hilary brougher,"amber tamblyn,tilda swinton,timothy hutton,denis o'hare,jim gaffigan,melissa leo","drama, indie",92 minutes
141,crazy love,2007.0,"dan klores,fisher stevens",,"documentary, romance",92 minutes
142,la vie en rose,2007.0,olivier dahan,"marion cotillard,clotilde courau,jean paul rouve,sylvie testud,pascal greggory,jean pierre martins,emmanuelle seigner,gerard depardieu,catherine allegret,caroline silhol","drama, foreign, musical",140 minutes
143,ocean's thirteen,2007.0,steven soderbergh,"george clooney,brad pitt,matt damon,ellen barkin,elliott gould,al pacino,bernie mac,don cheadle,andy garcia","action, comedy, crime",122 minutes
144,you kill me,2007.0,john dahl,"ben kingsley,tea leoni,luke wilson,bill pullman,dennis farina","action, comedy, crime, thriller",90 minutes
145,a mighty heart,2007.0,michael winterbottom,"angelina jolie,dan futterman,will patton,denis o'hare,archie panjabi","drama, indie, thriller",100 minutes
146,sicko,2007.0,michael moore,,documentary,123 minutes
147,live free or die hard,2007.0,,,"action, thriller",128 minutes
148,moolaade,2007.0,"ousmane sembene, ousmane sembene","fatoumata coulibaly,maimouna helene diarra,salimata traore,dominique zeida,mah compaore","drama, foreign",124 minutes
149,evening,2007.0,lajos koltai,"vanessa redgrave,claire danes,natasha richardson,toni collette,mamie gummer,meryl streep,glenn close,hugh dancy","drama, romance",130 minutes
150,lady chatterley,2007.0,pascale ferran,"marina hands,jean-louis coullo'ch,hippolyte girardot,helene alexandridis,helene fillieres,bernard verley,sava lolov","drama, foreign, indie, romance",167 minutes
151,transformers,2007.0,michael bay,"shia labeouf,tyrese gibson,josh duhamel,anthony anderson,megan fox,rachael taylor,john turturro,jon voight","action, adventure, science fiction, thriller",144 minutes
152,the departed,2007.0,martin scorsese,"leonardo dicaprio,matt damon,jack nicholson,mark wahlberg,martin sheen,ray winstone,vera farmiga,anthony anderson,alec baldwin","action, drama, thriller",151 minutes
153,mountain patrol: kekexili,2006.0,chuan lu,"duo bujie,lei zhang,liang qi,xueying zhao","action, drama, foreign",85 minutes
154,mrs. palfrey at the claremont,2006.0,dan ireland,"joan plowright,rupert friend,zoe tapper,anna massey,robert lang,marcia warren,georgina hale,millicent martin","comedy, drama, foreign",108 minutes
155,mission: impossible iii,2006.0,,"tom cruise,philip seymour hoffman,ving rhames,keri russell,laurence fishburne,billy crudup,jonathan rhys-meyers,michelle monaghan","action, adventure, thriller",126 minutes
156,the promise,2006.0,chen kaige,"dong-gun jang,hiroyuki sanada,cecilia cheung,nicholas tse,liu ye","action, drama, fantasy, foreign, romance, science fiction, thriller",98 minutes
157,art school confidential,2006.0,terry zwigoff,"max minghella,sophia myles,john malkovich,jim broadbent,ethan suplee,joel david moore,anjelica huston,matt keeslar,scoot mcnairy","action, comedy, drama, indie",102 minutes
158,goal! the dream begins,2006.0,danny cannon,"kuno becker,alessandro nivola,stephen dillane,anna friel,marcel iures,sean pertwee,cassandra bell","drama, sports film",118 minutes
159,poseidon,2006.0,wolfgang petersen,"josh lucas,kurt russell,jacinda barrett,richard dreyfuss,jimmy bennett,emmy rossum,andre braugher","action, adventure, disaster, thriller",99 minutes
160,au revoir les enfants,1987.0,,"francois negret, peter fitz, francois berleand, gaspard manesse, francine racette, raphael fejto, philippe morier-genoud","drama, foreign, war",104 minutes
161,saving shiloh,2006.0,sandy tung,"jason dolley,scott wilson,gerald mcraney,taylor momsen,kyle chavarria,ann dowd,liberty smith,bonnie bartlett","drama, family",90 minutes
162,hate crime,2006.0,tommy stovall,"seth peterson,bruce davison,chad donella,cindy pickett,brian j. smith,susan blakely,farah white,giancarlo esposito","drama, thriller",104 minutes
163,the lost city,2006.0,andy garcia,"andy garcia,bill murray,ines sastre,dustin hoffman,tomas milian,steven bauer,nestor carbonell,william marquez,julio oscar mechoso,enrique murciano,elizabeth pena,millie perkins,tony plana","drama, romance",144 minutes
164,just my luck,2006.0,donald petrie,"lindsay lohan,chris pine,samaire armstrong,bree turner,faizon love,missi pyle,carlos ponce","comedy, drama, family, fantasy, romance",103 minutes
165,down in the valley,2006.0,david jacobson,"edward norton,evan rachel wood,david morse,bruce dern,rory culkin,john diehl,geoffrey lewis,elizabeth pena","drama, indie, romance",112 minutes
166,the death of mr. lazarescu,2006.0,cristi puiu,"ion fiscuteanu,luminita gheorghiu","comedy, drama, foreign",150 minutes
167,keeping up with the steins,2006.0,scott marshall,"jeremy piven,larry miller,jami gertz,daryl hannah,garry marshall,daryl sabara,doris roberts,cheryl hines,carter jenkins","comedy, indie",90 minutes
168,the da vinci code,2006.0,ron howard,"tom hanks,audrey tautou,ian mckellen,alfred molina,jurgen prochnow,paul bettany,jean reno,jean pierre marielle,etienne chicot","mystery, thriller",149 minutes
169,cat people,1942.0,jacques tourneur,"simone simon,kent smith,jane randolph,tom conway,jack holt","drama, film noir, horror, suspense, thriller",73 minutes
170,the break-up,2006.0,peyton reed,"vince vaughn,jennifer aniston,joey lauren adams,cole hauser,jon favreau,jason bateman,judy davis,john michael higgins,vincent d'onofrio,ann-margret","comedy, drama, romance",106 minutes
171,overlord,2006.0,stuart cooper,"brian stirner,davyd harries,nicholas ball,julie neesam,sam sewell,john franklyn-robbins,stella tanner,harry shacklock,david scheuer","action, drama, foreign",83 minutes
172,v for vendetta,2006.0,james mcteigue,"natalie portman,hugo weaving,stephen rea,stephen fry,john hurt","action, science fiction, thriller",132 minutes
173,ask the dust,2006.0,robert towne,"colin farrell,salma hayek,donald sutherland,eileen atkins,justin kirk,idina menzel","drama, romance",117 minutes
174,"sorry, haters",2006.0,jeff stanzler,"robin wright penn,abdellatif kechiche,sandra oh,elodie bouchez,aasif mandvi,remy k. selma,fred durst","drama, indie, thriller",83 minutes
175,she's the man,2006.0,andy fickman,"amanda bynes,channing tatum,robert hoffman,alex breckenridge,david cross,laura ramsey","comedy, drama, family, romance",105 minutes
176,game 6,2006.0,michael hoffman,"michael keaton,robert downey jr.,griffin dunne,ari graynor,catherine o'hara,bebe neuwirth,shalom harlow,roger rees","comedy, drama, sports film",87 minutes
177,find me guilty,2006.0,sidney lumet,"vin diesel,paul borghese,michalina almindo,peter dinklage,alex rocco,annabella sciorra,linus roache,domenick lombardozzi,ron silver","action, comedy, crime, drama",125 minutes
178,the heart is deceitful above all things,2006.0,asia argento,"asia argento,peter fonda,marilyn manson,michael pitt","drama, indie",98 minutes
179,duck season,2006.0,fernando eimbcke,"diego catano,daniel miranda,danny perea,enrique arreola,carolina politi","comedy, drama, foreign",90 minutes
180,inside man,2006.0,spike lee,"denzel washington,clive owen,jodie foster,willem dafoe,chiwetel ejiofor,christopher plummer,kim director,james ransone","action, crime, drama, mystery, thriller",129 minutes
181,thank you for smoking,2006.0,jason reitman,"aaron eckhart,maria bello,cameron bright,adam brody,sam elliott,katie holmes,david koechner,william h. macy,rob lowe,robert duvall","comedy, drama",92 minutes
