ID;title,year,director(s),writer(s),actor(s)
28;Furious 7,James Wan,Chris Morgan,Vin Diesel,Paul Walker,Jason Statham,Michelle Rodriguez;2015
29;Ted 2,Seth MacFarlane,Seth MacFarlane,Alec Sulkin,Wellesley Wild,Mark Wahlberg,Seth MacFarlane,Amanda Seyfried,Jessica Barth;2015
30;Cinderella,Kenneth Branagh,Aline Brosh McKenna,Chris Weitz,Lily James,Cate Blanchett,Richard Madden,Helena Bonham Carter;2015
31;Sicario,Denis Villeneuve,Taylor Sheridan,Emily Blunt,Josh Brolin,Benicio del Toro,Daniel Kaluuya;2015
32;Gone Girl,David Fincher,Gillian Flynn,Ben Affleck,Rosamund Pike,Tyler Perry,Neil Patrick Harris;2014
33;The Imitation Game,Morten Tyldum,Graham Moore,Benedict Cumberbatch,Keira Knightley,Matthew Goode,Rory Kinnear;2014
34;American Sniper,Clint Eastwood,Jason Hall,Scott McEwen,Chris Kyle,James Defelice,Bradley Cooper,Sienna Miller,Jake McDorman,Luke Grimes;2014
35;Whiplash,Damien Chazelle,Damien Chazelle,Miles Teller,J.K. Simmons,Melissa Benoist,Austin Stowell;2014
36;Birdman,Alejandro González Iñárritu,Alexander Dinelaris,Alejandro González Iñárritu,Armando Bo,Nicolás Giacobone,Michael Keaton,Zach Galifianakis,Edward Norton,Emma Stone;2014
37;Teenage Mutant Ninja Turtles,Jonathan Liebesman,André Nemec,Evan Daugherty,Josh Appelbaum,Megan Fox,Will Arnett,William Fichtner,Alan Ritchson;2014
38;Entourage,Doug Ellin,Doug Ellin,Rob Weiss,Jeremy Piven,Adrian Grenier,Jerry Ferrara,Kevin Connolly;2015
39;Lucy,Luc Besson,Luc Besson,Scarlett Johansson,Morgan Freeman,Choi Min-sik,Amr Waked;2014
40;Taken 3,Olivier Megaton,Luc Besson,Robert Mark Kamen,Liam Neeson,Forest Whitaker,Famke Janssen,Maggie Grace;2015
41;Everest,Baltasar Kormákur,Mark Medoff,Simon Beaufoy,Justin Isbell,Jason Clarke,Jake Gyllenhaal,Josh Brolin,John Hawkes;2015
42;X-Men: Days of Future Past,Bryan Singer,Jane Goldman,Simon Kinberg,Matthew Vaughn,Hugh Jackman,James McAvoy,Patrick Stewart,Michael Fassbender;2014
43;Black Mass,Scott Cooper,Jez Butterworth,Mark Mallouk,Johnny Depp,Joel Edgerton,Benedict Cumberbatch,Dakota Johnson;2015
44;The Equalizer,Antoine Fuqua,Richard Wenk,Denzel Washington,Marton Csokas,Chloë Grace Moretz,David Harbour;2014
45;Pitch Perfect 2,Elizabeth Banks,Kay Cannon,Anna Kendrick,Rebel Wilson,Brittany Snow,Hailee Steinfeld;2015
46;Penis Boy,James Healey,Alejandro Veciana,Nate Palant,Kate McLeod,Jon Necaj,Collin Blackard,Alfred Rosenblatt;2015
47;Pan,Joe Wright,Jason Fuchs,Rooney Mara,Hugh Jackman,Amanda Seyfried,Garrett Hedlund;2015
48;The Internship,Shawn Levy,Vince Vaughn,Jared Stern,Owen Wilson,Vince Vaughn,Tiya Sircar,Rose Byrne;2013
49;Fury,David Ayer,David Ayer,Brad Pitt,Shia LaBeouf,Logan Lerman,Michael Peña;2014
50;Inception,Christopher Nolan,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Tom Hardy;2010
51;The Avengers,Joss Whedon,Joss Whedon,Zak Penn,Stan Lee,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth;2012
52;Alien,Ridley Scott,Dan O'Bannon,Ronald Shusett,Sigourney Weaver,Tom Skerritt,Veronica Cartwright,Harry Dean Stanton;1979
53;Exodus: Gods and Kings,Ridley Scott,Bill Collage,Adam Cooper,Steven Zaillian,Jeffrey Caine,Christian Bale,Joel Edgerton,John Turturro,Aaron Paul;2014
54;Star Wars: Episode IV - A New Hope,George Lucas,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,Peter Cushing;1977
55;Nightcrawler,Dan Gilroy,Dan Gilroy,Jake Gyllenhaal,Bill Paxton,Rene Russo,Kevin Rahm;2014
56;Dawn of the Planet of the Apes,Matt Reeves,Pierre Boulle,Mark Bomback,Rick Jaffa,Amanda Silver,Andy Serkis,Jason Clarke,Toby Kebbell,Keri Russell;2014
57;Penguins of Madagascar,Simon J. Smith,Eric Darnell,Michael Colton,John Aboud,Tom McGrath,Chris Miller,Christopher Knights,Conrad Vernon;2014
58;Self/less,Tarsem Singh,Àlex Pastor,David Pastor,Ryan Reynolds,Ben Kingsley,Natalie Martinez,Matthew Goode;2015
59;Child 44,Daniel Espinosa,Richard Price,Tom Rob Smith,Tom Hardy,Gary Oldman,Noomi Rapace,Joel Kinnaman;2015
60;Chappie,Neill Blomkamp,Neill Blomkamp,Terri Tatchell,Sharlto Copley,Dev Patel,Ninja,Yolandi Visser;2015
61;The Intern,Nancy Meyers,Nancy Meyers,Robert De Niro,Anne Hathaway,Rene Russo,Nat Wolff;2015
62;The Dark Knight Rises,Christopher Nolan,Jonathan Nolan,Christopher Nolan,David S. Goyer,Christian Bale,Michael Caine,Gary Oldman,Anne Hathaway;2012
63;Captain America: The Winter Soldier,Joe Russo,Anthony Russo,Christopher Markus,Stephen McFeely,Chris Evans,Scarlett Johansson,Sebastian Stan,Samuel L. Jackson;2014
64;Terminator 2: Judgment Day,James Cameron,William Wisher Jr.,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick;1991
65;Knock Knock,Eli Roth,Eli Roth,Nicolás López,Guillermo Amoedo,Anthony Overman,Michael Ronald Ross,Keanu Reeves,Lorenza Izzo,Ana de Armas,Aaron Burns;2015
66;Dracula Untold,Gary Shore,Matt Sazama,Burk Sharpless,Luke Evans,Sarah Gadon,Dominic Cooper,Art Parkinson;2014
67;The Dark Knight,Christopher Nolan,Jonathan Nolan,Christopher Nolan,David S. Goyer,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine;2008
68;Insidious: Chapter 3,Leigh Whannell,Leigh Whannell,Dermot Mulroney,Stefanie Scott,Lin Shaye,Leigh Whannell;2015
69;Edge of Tomorrow,Doug Liman,Jez Butterworth,Christopher McQuarrie,John-Henry Butterworth,Hiroshi Sakurazaka,Tom Cruise,Emily Blunt,Brendan Gleeson,Bill Paxton;2014
70;Tracers,Daniel Benmayor,Leslie Bohem,Kevin Lund,T.J. Scott,Matt Johnson,Marie Avgeropoulos,Taylor Lautner,Adam Rayner,Rafi Gavron;2015
71;Pacific Rim,Guillermo del Toro,Travis Beacham,Guillermo del Toro,Idris Elba,Charlie Hunnam,Charlie Day,Ron Perlman;2013
72;Night at the Museum: Secret of the Tomb,Shawn Levy,Thomas Lennon,David Guion,Michael Handelman,Ben Garant,Ben Stiller,Rami Malek,Rebel Wilson,Robin Williams;2014
73;Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,Ted Elliott,Terry Rossio,Stuart Beattie,Jay Wolpert,Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley;2003
74;Thor: The Dark World,Alan Taylor,Don Payne,Christopher Markus,Stephen McFeely,Christopher Yost,Chris Hemsworth,Natalie Portman,Tom Hiddleston,Anthony Hopkins;2013
75;Wild Card,Simon West,William Goldman,Jason Statham,Michael Angarano,Milo Ventimiglia,Dominik García-Lorido;2015
76;Maggie,Henry Hobson,John Scott 3,Arnold Schwarzenegger,Abigail Breslin,Joely Richardson,Laura Cayouette;2015
77;Run All Night,Jaume Collet-Serra,Brad Ingelsby,Liam Neeson,Ed Harris,Joel Kinnaman,Boyd Holbrook;2015
78;Ex Machina,Alex Garland,Alex Garland,Domhnall Gleeson,Oscar Isaac,Alicia Vikander,Sonoya Mizuno;2015
79;Fantastic Four,Josh Trank,Jeremy Slater,Josh Trank,Simon Kinberg,T.S. Nowlin,Miles Teller,Kate Mara,Jamie Bell,Toby Kebbell;2015
80;Poltergeist,Gil Kenan,David Lindsay-Abaire,Steven Spielberg,Sam Rockwell,Rosemarie DeWitt,Saxon Sharbino,Kyle Catlett;2015
81;Frozen,Chris Buck,Jennifer Lee,Hans Christian Andersen,Jennifer Lee,Chris Buck,Shane Morris,Kristen Bell,Idina Menzel,Jonathan Groff,Josh Gad;2013
82;Paul Blart: Mall Cop 2,Andy Fickman,Kevin James,Nick Bakay,Kevin James,Raini Rodriguez,Eduardo Verástegui,Daniella Alonso;2015
83;The Matrix,Andy Wachowski,Lana Wachowski,Andy Wachowski,Lana Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving;1999
84;The Visit,M. Night Shyamalan,M. Night Shyamalan,Olivia DeJonge,Ed Oxenbould,Kathryn Hahn,Benjamin Kanes;2015
85;Captain America: The First Avenger,Joe Johnston,Stephen McFeely,Christopher Markus,Chris Evans,Hugo Weaving,Tommy Lee Jones,Hayley Atwell;2011
86;The SpongeBob Movie: Sponge Out of Water,Paul Tibbitt,Stephen Hillenburg,Paul Tibbitt,Tom Kenny,Bill Fagerbakke,Rodger Bumpass,Clancy Brown;2015
87;Sex Tape,Jake Kasdan,Kate Angelo,Jason Segel,Nicholas Stoller,Cameron Diaz,Jason Segel,Rob Corddry,Ellie Kemper;2014
88;Terminator Salvation,McG,John D. Brancato,Michael Ferris,Christian Bale,Sam Worthington,Anton Yelchin,Moon Bloodgood;2009
89;The Hobbit: The Desolation of Smaug,Peter Jackson,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Peter Jackson,Guillermo del Toro,Martin Freeman,Ian McKellen,Richard Armitage,Ken Stott;2013
90;The Wolf of Wall Street,Martin Scorsese,Terence Winter,Jordan Belfort,Leonardo DiCaprio,Jonah Hill,Margot Robbie,Kyle Chandler;2013
91;How to Train Your Dragon 2,Dean DeBlois,Cressida Cowell,Dean DeBlois,Jay Baruchel,Gerard Butler,Kristen Wiig,Jonah Hill;2014
92;Batman Begins,Christopher Nolan,Christopher Nolan,David S. Goyer,Christian Bale,Michael Caine,Liam Neeson,Katie Holmes;2005
93;Avatar,James Cameron,James Cameron,Zoe Saldana,Sigourney Weaver,Stephen Lang,Michelle Rodriguez;2009
94;It Follows,David Robert Mitchell,David Robert Mitchell,Maika Monroe,Keir Gilchrist,Olivia Luccardi,Lili Sepe;2014
95;The Amazing Spider-Man 2,Marc Webb,Alex Kurtzman,Roberto Orci,Jeff Pinkner,James Vanderbilt,Andrew Garfield,Emma Stone,Jamie Foxx,Dane DeHaan;2014
96;The Interview,Evan Goldberg,Seth Rogen,Dan Sterling,Seth Rogen,Evan Goldberg,James Franco,Seth Rogen,Lizzy Caplan,Randall Park;2014
97;Spooks: The Greater Good,Bharat Nalluri,Jonathan Brackley,Sam Vincent,Kit Harington,Jennifer Ehle,Lara Pulver,Elyes Gabel;2015
98;Sin City: A Dame to Kill For,Frank Miller,Robert Rodriguez,Frank Miller,Mickey Rourke,Jessica Alba,Josh Brolin,Joseph Gordon-Levitt;2014
99;Mad Max Beyond Thunderdome,George Miller,George Ogilvie,Terry Hayes,George Miller,Mel Gibson,Tina Turner,Bruce Spence,Helen Buday;1985
100;The Hunger Games: Catching Fire,Francis Lawrence,Simon Beaufoy,Suzanne Collins,Michael Arndt,Jennifer Lawrence,Josh Hutcherson,Sam Claflin,Elizabeth Banks;2013
101;The Hobbit: An Unexpected Journey,Peter Jackson,Fran Walsh,Philippa Boyens,Peter Jackson,Guillermo del Toro,J.R.R. Tolkien,Ian McKellen,Martin Freeman,Richard Armitage,Andy Serkis;2012
102;The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,J.R.R. Tolkien,Peter Jackson,Fran Walsh,Philippa Boyens,Elijah Wood,Ian McKellen,Viggo Mortensen,Liv Tyler;2001
103;Star Wars: Episode III - Revenge of the Sith,George Lucas,George Lucas,Hayden Christensen,Ewan McGregor,Natalie Portman,Ian McDiarmid;2005
104;Mad Max,George Miller,James McCausland,George Miller,Byron Kennedy,Mel Gibson,Joanne Samuel,Hugh Keays-Byrne,Steve Bisley;1979
105;Quantum of Solace,Marc Forster,Paul Haggis,Neal Purvis,Robert Wade,Daniel Craig,Olga Kurylenko,Mathieu Amalric,Judi Dench;2008
106;Despicable Me,Pierre Coffin,Chris Renaud,Ken Daurio,Sergio Pablos,Cinco Paul,Steve Carell,Jason Segel,Russell Brand,Julie Andrews;2010
107;Air,Christian Cantamessa,Chris Pasetto,Christian Cantamessa,Norman Reedus,Djimon Hounsou,Sandrine Holt,Peter Benson;2015
108;Survivor,James McTeigue,Philip Shelby,Pierce Brosnan,Milla Jovovich,Dylan McDermott,Angela Bassett;2015
109;Focus,Glenn Ficarra,John Requa,John Requa,Glenn Ficarra,Will Smith,Margot Robbie,Rodrigo Santoro,Robert Taylor;2015
110;Transformers: Age of Extinction,Michael Bay,Ehren Kruger,Mark Wahlberg,Stanley Tucci,Nicola Peltz,Jack Reynor;2014
111;Django Unchained,Quentin Tarantino,Quentin Tarantino,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington;2012
112;A Walk Among the Tombstones,Scott Frank,Scott Frank,Lawrence Block,Liam Neeson,Dan Stevens,David Harbour,Boyd Holbrook;2014
113;The Grand Budapest Hotel,Wes Anderson,Wes Anderson,Hugo Guinness,Ralph Fiennes,Tony Revolori,F. Murray Abraham,Mathieu Amalric;2014
114;The Lord of the Rings: The Two Towers,Peter Jackson,J.R.R. Tolkien,Peter Jackson,Fran Walsh,Philippa Boyens,Elijah Wood,Ian McKellen,Viggo Mortensen,Liv Tyler;2002
115;Star Wars: Episode I - The Phantom Menace,George Lucas,George Lucas,Liam Neeson,Ewan McGregor,Natalie Portman,Jake Lloyd;1999
116;The Transporter Refueled,Camille Delamarre,Adam Cooper,Bill Collage,Luc Besson,Ed Skrein,Loan Chabanol,Lenn Kudrjawizki,Radivoje Bukvić;2015
117;Harry Potter and the Philosopher's Stone,Chris Columbus,J. K. Rowling,Steve Kloves,Daniel Radcliffe,Rupert Grint,Emma Watson,Richard Harris;2001
118;Seventh Son,Sergey Bodrov,Joseph Delaney,Max Borenstein,Matt Greenberg,Charles Leavitt,Jeff Bridges,Julianne Moore,Ben Barnes,Alicia Vikander;2015
119;Fifty Shades of Grey,Sam Taylor-Johnson,E.L. James,Kelly Marcel,Dakota Johnson,Jamie Dornan,Jennifer Ehle,Eloise Mumford;2015
120;Navy Seals vs. Zombies,Stanton Barrett,A.K. Waters,Matthew Carpenter,Ed Quinn,Michael Dudikoff,Rick Fox,Chad "Gunner" Lail;2015
121;Her,Spike Jonze,Spike Jonze,Joaquin Phoenix,Scarlett Johansson,Rooney Mara,Amy Adams;2013
122;Divergent,Neil Burger,Evan Daugherty,Vanessa Taylor,Veronica Roth,Shailene Woodley,Theo James,Kate Winslet,Miles Teller;2014
123;Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,Leigh Brackett,Lawrence Kasdan,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,David Prowse;1980
124;Up,Pete Docter,Bob Peterson,Bob Peterson,Ed Asner,Christopher Plummer,Jordan Nagai,Bob Peterson;2009
125;Star Wars: Episode II - Attack of the Clones,George Lucas,Jonathan Hales,George Lucas,Ewan McGregor,Natalie Portman,Hayden Christensen,Ian McDiarmid;2002
126;Back to the Future,Robert Zemeckis,Bob Gale,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover;1985
127;Dumb and Dumber To,Bobby Farrelly,Peter Farrelly,John Morris,Sean Anders,Bennett Yellin,Peter Farrelly,Bobby Farrelly,Mike Cerrone,Jim Carrey,Jeff Daniels,Rachel Melvin,Kathleen Turner;2014
128;Godzilla,Gareth Edwards,Max Borenstein,Dave Callaham,Aaron Taylor-Johnson,Ken Watanabe,Elizabeth Olsen,Bryan Cranston;2014
129;The November Man,Roger Donaldson,Michael Finch,Karl Gajdusek,Bill Granger,Pierce Brosnan,Luke Bracey,Olga Kurylenko,Bill Smitrovich;2014
130;Straight Outta Compton,F. Gary Gray,Andrea Berloff,Jonathan Herman,S. Leigh Savidge,Alan Wenkus,O'Shea Jackson Jr.,Corey Hawkins,Jason Mitchell,Neil Brown Jr.;2015
131;Monsters, Inc.,Lee Unkrich,David Silverman,Pete Docter,Andrew Stanton,Dan Gerson,John Goodman,Billy Crystal,Mary Gibbs,Steve Buscemi;2001
132;The Man from U.N.C.L.E.,Guy Ritchie,Guy Ritchie,Lionel Wigram,Alicia Vikander,Henry Cavill,Armie Hammer,Hugh Grant;2015
133;Spectre,Sam Mendes,John Logan,Neal Purvis,Robert Wade,Daniel Craig,Christoph Waltz,Léa Seydoux,Monica Bellucci;2015
134;Maleficent,Robert Stromberg,Linda Woolverton,Angelina Jolie,Elle Fanning,Juno Temple,Sharlto Copley;2014
135;Silver Linings Playbook,David O. Russell,Matthew Quick,David O. Russell,Bradley Cooper,Jennifer Lawrence,Robert De Niro,Jacki Weaver;2012
136;American Ultra,Nima Nourizadeh,Max Landis,Kristen Stewart,Jesse Eisenberg,Topher Grace,Tony Hale;2015
137;Let's Be Cops,Luke Greenfield,Luke Greenfield,Nicholas Thomas,Nina Dobrev,Jake Johnson,Damon Wayans Jr.,James D'Arcy;2014
138;Steve Jobs,Danny Boyle,Aaron Sorkin,Walter Isaacson,Michael Fassbender,Kate Winslet,Seth Rogen,Katherine Waterston;2015
139;Terminator 3: Rise of the Machines,Jonathan Mostow,John D. Brancato,Michael Ferris,Tedi Sarafian,Arnold Schwarzenegger,Nick Stahl,Claire Danes,Kristanna Loken;2003
140;Star Wars: Episode VII - The Force Awakens,J.J. Abrams,George Lucas,J.J. Abrams,Lawrence Kasdan,Mark Hamill,Carrie Fisher,Harrison Ford,Anthony Daniels;2015
141;Magic Mike XXL,Gregory Jacobs,Reid Carolin,Channing Tatum,Brandon Cyrus,Elizabeth Banks,Amber Heard;2015
142;The Terminator,James Cameron,James Cameron,Gale Anne Hurd,Arnold Schwarzenegger,Michael Biehn,Linda Hamilton,Paul Winfield;1984
143;Oblivion,Joseph Kosinski,Karl Gajdusek,Michael Arndt,Tom Cruise,Morgan Freeman,Olga Kurylenko,Andrea Riseborough;2013
144;The Lord of the Rings: The Return of the King,Peter Jackson,J.R.R. Tolkien,Peter Jackson,Fran Walsh,Philippa Boyens,Elijah Wood,Ian McKellen,Viggo Mortensen,Liv Tyler;2003
145;Stonehearst Asylum,Brad Anderson,Edgar Allan Poe,Joe Gangemi,Kate Beckinsale,Jim Sturgess,Ben Kingsley,Michael Caine;2014
146;Raiders of the Lost Ark,Steven Spielberg,Lawrence Kasdan,George Lucas,Philip Kaufman,Harrison Ford,Karen Allen,Paul Freeman,Ronald Lacey;1981
147;Mad Max 2: The Road Warrior,George Miller,Terry Hayes,George Miller,Brian Hannant,Mel Gibson,Bruce Spence,Michael Preston,Max Phipps;1981
148;Despicable Me 2,Pierre Coffin,Chris Renaud,Ken Daurio,Cinco Paul,Steve Carell,Kristen Wiig,Benjamin Bratt,Miranda Cosgrove;2013
149;Iron Man,Jon Favreau,Art Marcum,Matt Holloway,Robert Downey Jr.,Terrence Howard,Jeff Bridges,Gwyneth Paltrow;2008
150;The Shawshank Redemption,Frank Darabont,Stephen King,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler;1994
151;The Expendables 3,Patrick Hughes,Sylvester Stallone,Creighton Rothenberger,Katrin Benedikt,Sylvester Stallone,Jason Statham,Harrison Ford,Arnold Schwarzenegger;2014
152;Home,Tim Johnson,Tom J. Astle,Matt Ember,Adam Rex,Todd Wilderman,Jim Parsons,Rihanna,Steve Martin,Jennifer Lopez;2015
153;Harry Potter and the Deathly Hallows: Part 1,David Yates,Steve Kloves,J. K. Rowling,Daniel Radcliffe,Emma Watson,Rupert Grint,Ralph Fiennes;2010
154;The Drop,Michaël R. Roskam,Dennis Lehane,Tom Hardy,Noomi Rapace,James Gandolfini,Matthias Schoenaerts;2014
155;The Final Girls,Todd Strauss-Schulson,M.A. Fortin,Joshua John Miller,Taissa Farmiga,Malin Åkerman,Nina Dobrev,Alexander Ludwig;2015
156;Dope,Rick Famuyiwa,Rick Famuyiwa,Zoë Kravitz,Blake Anderson,Keith Stanfield,Rick Fox;2015
157;The Walk,Robert Zemeckis,Robert Zemeckis,Christopher Browne,Philippe Petit,Joseph Gordon-Levitt,Ben Kingsley,Charlotte Le Bon,Ben Schwartz;2015
158;Skyfall,Sam Mendes,John Logan,Neal Purvis,Robert Wade,Daniel Craig,Judi Dench,Javier Bardem,Ralph Fiennes;2012
159;Toy Story,John Lasseter,Joss Whedon,Andrew Stanton,Joel Cohen,Alec Sokolow,Tom Hanks,Tim Allen,Don Rickles,Jim Varney;1995
160;Thor,Kenneth Branagh,Ashley Edward Miller,Zack Stentz,Don Payne,J. Michael Straczynski,Chris Hemsworth,Natalie Portman,Tom Hiddleston,Anthony Hopkins;2011
161;I Spit on Your Grave III: Vengeance is Mine,R.D. Braunstein,Daniel Gilboy,Sarah Butler,Jennifer Landon,Doug McKeon,Gabriel Hogan;2015
162;Hotel Transylvania,Genndy Tartakovsky,Dan Hageman,Adam Sandler,Steve Buscemi,David Spade,Kevin James;2012
163;Leon: The Professional,Luc Besson,Luc Besson,Jean Reno,Natalie Portman,Gary Oldman,Danny Aiello;1994
164;Mission: Impossible III,J.J. Abrams,Alex Kurtzman,Roberto Orci,J.J. Abrams,Tom Cruise,Philip Seymour Hoffman,Ving Rhames,Billy Crudup;2006
165;Asterix: The Land of the Gods,Alexandre Astier,Louis Clichy,,Roger Carel,Alexandre Astier,Lionnel Astier,Serge Papagalli;2014
166;Trainwreck,Judd Apatow,Amy Schumer,Amy Schumer,Bill Hader,Brie Larson,Colin Quinn;2015
167;Autómata,Gabe Ibáñez,Gabe Ibáñez,Igor Legarreta,Javier Sánchez Donate,Antonio Banderas,Birgitte Hjort Sørensen,Melanie Griffith,Dylan McDermott;2014
168;Star Wars: Episode VI - Return of the Jedi,Richard Marquand,Lawrence Kasdan,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams;1983
169;The Wedding Ringer,Jeremy Garelick,Jeremy Garelick,Jay Lavender,Kevin Hart,Josh Gad,Kaley Cuoco,Affion Crockett;2015
170;Mortdecai,David Koepp,Kyril Bonfiglioli,Eric Aronson,Johnny Depp,Gwyneth Paltrow,Ewan McGregor,Paul Bettany;2015
171;The Amazing Spider-Man,Marc Webb,Alvin Sargent,Steve Kloves,James Vanderbilt,Andrew Garfield,Emma Stone,Rhys Ifans,Denis Leary;2012
172;Pirates of the Caribbean: On Stranger Tides,Rob Marshall,Ted Elliott,Terry Rossio,Johnny Depp,Ian McShane,Penélope Cruz,Geoffrey Rush;2011
173;Casino Royale,Martin Campbell,Neal Purvis,Robert Wade,Paul Haggis,Daniel Craig,Eva Green,Mads Mikkelsen,Judi Dench;2006
174;Who Am I - No System is Safe,Baran bo Odar,Jantje Friese,Baran bo Odar,Tom Schilling,Elyas M’Barek,Trine Dyrholm,Antoine Monot Jr.;2014
175;The Loft,Erik Van Looy,Bart De Pauw,Wesley Strick,Karl Urban,James Marsden,Wentworth Miller,Matthias Schoenaerts;2014
176;Iron Man 3,Shane Black,Shane Black,Drew Pearce,Robert Downey Jr.,Gwyneth Paltrow,Guy Pearce,Don Cheadle;2013
