entity_id,Id,Title,Director,Year,Cast
28,c2094,the kingdom,peter berg,2007,"jamie foxx, chris cooper, jennifer garner"
28,b2261,the kingdom,peter berg,2007,"jamie foxx, chris cooper, jennifer garner, jason bateman"
29,c1459,killers,robert luketic,2010,"katherine heigl, ashton kutcher, tom selleck"
29,a375,killers,robert luketic,2010,"katherine heigl, ashton kutcher, tom selleck"
30,a705,death race,paul w.s. anderson,2008,"jason statham, joan allen, tyrese gibson"
30,d2933,death race,paul w.s. anderson,2008,"jason statham,joan allen,ian mcshane,tyrese gibson,natalie martinez,max ryan"
30,b657,death race,paul w.s. anderson,2008,"jason statham, joan allen, ian mcshane, tyrese gibson"
30,c1911,death race,paul w.s. anderson,2008,"jason statham, joan allen, tyrese gibson"
31,c614,red 2,dean parisot,2013,"bruce willis, helen mirren, john malkovich"
31,b2644,red 2,dean parisot,2013,"bruce willis, john malkovich, mary-louise parker, helen mirren"
31,d1620,red 2,dean parisot,2013,"bruce willis,mary-louise parker,helen mirren,john malkovich,catherine zeta-jones,anthony hopkins,david thewlis"
31,a2896,red 2,dean parisot,2013,"bruce willis, helen mirren, john malkovich"
32,d190,ice age: the meltdown,carlos saldanha,2006,"ray romano,denis leary,queen latifah,josh peck,jay leno,seann william scott"
32,a2214,ice age: the meltdown,carlos saldanha,2006,"ray romano, john leguizamo, denis leary"
32,c2293,ice age: the meltdown,carlos saldanha,2006,"ray romano, john leguizamo, denis leary"
33,c3019,lara croft: tomb raider,simon west,2001,"angelina jolie, jon voight, iain glen"
33,a1488,lara croft: tomb raider,simon west,2001,"angelina jolie, jon voight, iain glen"
34,c2137,fantastic 4: rise of the silver surfer,tim story,2007,"ioan gruffudd, jessica alba, chris evans"
34,a1166,fantastic 4: rise of the silver surfer,tim story,2007,"ioan gruffudd, jessica alba, chris evans"
35,c1949,the spirit,frank miller,2008,"gabriel macht, samuel l. jackson, scarlett johansson"
35,a829,the spirit,frank miller,2008,"gabriel macht, samuel l. jackson, scarlett johansson"
35,b772,the spirit,frank miller (ii),2008,"gabriel macht, samuel l. jackson, scarlett johansson, eva mendes"
35,d2831,the spirit,frank miller,2008,"gabriel macht,samuel l. jackson,scarlett johansson,eva mendes,sarah paulson,paz vega"
36,a724,the forbidden kingdom,rob minkoff,2008,"jackie chan, jet li, michael angarano"
36,b676,the forbidden kingdom,rob minkoff,2008,"jackie chan, jet li, michael angarano, collin chou"
36,c1953,the forbidden kingdom,rob minkoff,2008,"jackie chan, jet li, michael angarano"
37,a754,iron man,jon favreau,2008,"robert downey jr., gwyneth paltrow, terrence howard"
37,c1895,iron man,jon favreau,2008,"robert downey jr., gwyneth paltrow, terrence howard"
37,b705,iron man,jon favreau,2008,"robert downey jr., terrence howard, jeff bridges, gwyneth paltrow"
37,d3054,iron man,jon favreau,2008,"robert downey jr.,terrence howard,jeff bridges,gwyneth paltrow"
38,b987,tyson,james toback,2009,"mike tyson, mills lane, trevor berbick"
38,d2758,tyson,james toback,2009,
38,a1064,tyson,james toback,2009,"mike tyson, mills lane, trevor berbick"
39,a1650,drum,steve carver,1976,"warren oates, isela vega, ken norton"
39,c5697,drum,steve carver,1976,"warren oates, isela vega, ken norton"
40,a2640,all is lost,j.c. chandor,2013,robert redford
40,c640,all is lost,j.c. chandor,2013,robert redford
40,b2410,all is lost,j.c. chandor,2013,robert redford
40,d1410,all is lost,j.c. chandor,2013,robert redford
41,a2541,pathfinder,marcus nispel,2007,"karl urban, clancy brown, moon bloodgood"
41,b2315,pathfinder,marcus nispel,2007,"karl urban, moon bloodgood, clancy brown, russell means"
41,c2100,pathfinder,marcus nispel,2007,"karl urban, clancy brown, moon bloodgood"
42,c1220,drive angry,patrick lussier,2011,"nicolas cage, amber heard, william fichtner"
42,d2358,drive angry 3d,patrick lussier,2011,"nicolas cage,amber heard,william fichtner,billy burke,david morse,todd farmer,christa campbell,charlotte ross,tom atkins,jack mcgee"
42,a528,drive angry,patrick lussier,2011,"nicolas cage, amber heard, william fichtner"
42,b498,drive angry,patrick lussier,2011,"nicolas cage, amber heard, william fichtner, billy burke"
43,b532,immortals,tarsem singh,2011,"henry cavill, mickey rourke, freida pinto, stephen dorff"
43,c1190,immortals,tarsem singh,2011,"henry cavill, mickey rourke, john hurt"
43,a567,immortals,tarsem singh,2011,"henry cavill, mickey rourke, john hurt"
43,d2106,immortals,tarsem singh,2011,"henry cavill,mickey rourke,stephen dorff,freida pinto,luke evans,john hurt,lysander,aethra,the monk,alan van sprang,peter stebbings,daniel sharman,isabel lucas"
44,b992,up in the air,jason reitman,2009,"george clooney, vera farmiga, anna kendrick, danny mcbride"
44,d2617,up in the air,jason reitman,2009,"george clooney,vera farmiga,anna kendrick"
44,a1069,up in the air,jason reitman,2009,"george clooney, vera farmiga, anna kendrick"
45,c586,killing season,mark steven johnson,2013,"robert de niro, john travolta, milo ventimiglia"
45,b2569,killing season,mark steven johnson,2013,"robert de niro, john travolta, milo ventimiglia, elizabeth olin"
45,a2813,killing season,mark steven johnson,2013,"robert de niro, john travolta, milo ventimiglia"
46,c2003,eagle eye,d.j. caruso,2008,"shia labeouf, michelle monaghan, rosario dawson"
46,b666,eagle eye,d.j. caruso,2008,"shia labeouf, michelle monaghan, michael chiklis, rosario dawson"
46,d2915,eagle eye,d.j. caruso,2008,"shia labeouf,michelle monaghan,rosario dawson,michael chilkis,billy bob thornton,anthony mackie,ethan embry"
46,a712,eagle eye,d.j. caruso,2008,"shia labeouf, michelle monaghan, rosario dawson"
47,a2891,proxy,zack parker,2014,"joe swanberg, kristina klebe, alexa havins"
47,d1208,proxy,zack parker,2014,"alexia rasmussen,alexa havins,kristina klebe,joe swanberg"
47,b2639,proxy,zack parker,2014,"alexia rasmussen, alexa havins, joe swanberg, kristina klebe"
48,a2905,the saratov approach,garrett batty,2013,"corbin allred, maclain nelson, nikita bogolyubov"
48,b2653,the saratov approach,garrett batty,2013,"corbin allred, maclain nelson, nikita bogolyubov, alex veadov"
48,c829,the saratov approach,garrett batty,2013,"corbin allred, maclain nelson, nikita bogolyubov"
49,a492,battle los angeles,jonathan liebesman,2011,"aaron eckhart, michelle rodriguez, bridget moynahan"
49,b468,battle: los angeles,jonathan liebesman,2011,"aaron eckhart, bridget moynahan, ramon rodrguez, michael pea"
49,c1183,battle los angeles,jonathan liebesman,2011,"aaron eckhart, michelle rodriguez, bridget moynahan"
50,b2696,the unknown known,errol morris,2014,"donald rumsfeld, errol morris, kenn medeiros"
50,a2950,the unknown known,errol morris,2014,"donald rumsfeld, errol morris"
50,d1283,the unknown known,errol morris,2014,"donald rumsfeld,kenn medeiros,errol morris"
51,c1973,hero wanted,brian smrz,2008,"cuba gooding jr., ray liotta, tommy flanagan"
51,a745,hero wanted,brian smrz,2008,"cuba gooding jr., ray liotta, tommy flanagan"
51,b695,hero wanted,brian smrz,2008,"cuba gooding jr., ray liotta, kim coates, norman reedus"
52,c1900,street kings,david ayer,2008,"keanu reeves, forest whitaker, hugh laurie"
52,b779,street kings,david ayer,2008,"keanu reeves, forest whitaker, hugh laurie, chris evans"
52,a835,street kings,david ayer,2008,"keanu reeves, forest whitaker, hugh laurie"
52,d3087,street kings,david ayer,2008,"keanu reeves,forest whitaker,hugh laurie,chris evans,cedric the entertainer"
53,c648,dead man down,niels arden oplev,2013,"colin farrell, noomi rapace, dominic cooper"
53,a2709,dead man down,niels arden oplev,2013,"colin farrell, noomi rapace, dominic cooper"
53,b2476,dead man down,niels arden oplev,2013,"colin farrell, noomi rapace, terrence howard, dominic cooper"
54,b1135,red planet,antony hoffman,2000,"val kilmer, carrie-anne moss, benjamin bratt, tom sizemore"
54,c3208,red planet,antony hoffman,2000,"val kilmer, carrie-anne moss, tom sizemore"
54,a1312,red planet,antony hoffman,2000,"val kilmer, carrie-anne moss, tom sizemore"
55,c2631,the final cut,omar naim,2004,"robin williams, jim caviezel, mira sorvino"
55,b1442,the final cut,omar naim,2004,"robin williams, mira sorvino, jim caviezel, mimi kuzyk"
55,a1660,the final cut,omar naim,2004,"robin williams, jim caviezel, mira sorvino"
56,c2099,the condemned,scott wiper,2007,"steve austin, vinnie jones, nathan jones"
56,a1141,the condemned,scott wiper,2007,"steve austin, vinnie jones, nathan jones"
57,c1737,next day air,benny boom,2009,"yasiin bey, mike epps, donald faison"
57,d2767,next day air,benny boom,2009,"donald faison,mike epps,mos def,wood harris,omari hardwick,emilio rivera"
57,a1010,next day air,benny boom,2009,"yasiin bey, mike epps, donald faison"
57,b940,next day air,benny boom,2009,"mike epps, donald faison, darius mccrary, lauren london"
58,a1195,big momma's house,raja gosnell,2000,"martin lawrence, nia long, paul giamatti"
58,c3214,big momma's house,raja gosnell,2000,"martin lawrence, nia long, paul giamatti"
59,b716,madagascar: escape 2 africa,tom mcgrath,2008,"ben stiller, chris rock, david schwimmer, jada pinkett smith"
59,d2867,madagascar: escape 2 africa,"eric darnell,tom mcgrath",2008,"ben stiller,chris rock,david schwimmer,jada pinkett smith,sacha baron cohen,cedric the entertainer,andy richter,bernie mac,alec baldwin,sherri shepherd,will.i.am"
59,a766,madagascar: escape 2 africa,eric darnell,2008,"ben stiller, chris rock, david schwimmer"
59,c1919,madagascar: escape 2 africa,eric darnell,2008,"ben stiller, chris rock, david schwimmer"
60,c1732,ice age: dawn of the dinosaurs,carlos saldanha,2009,"ray romano, john leguizamo, denis leary"
60,a964,ice age: dawn of the dinosaurs,carlos saldanha,2009,"ray romano, john leguizamo, denis leary"
61,c3200,dungeons & dragons,courtney solomon,2000,"justin whalin, jeremy irons, zoe mclellan"
61,a1226,dungeons & dragons,courtney solomon,2000,"justin whalin, jeremy irons, zoe mclellan"
61,b1054,dungeons & dragons,courtney solomon,2000,"justin whalin, jeremy irons, marlon wayans, zoe mclellan"
62,c1500,cats & dogs: the revenge of kitty galore,brad peyton,2010,"bette midler, chris o'donnell, jack mcbrayer"
62,a299,cats & dogs: the revenge of kitty galore,brad peyton,2010,"bette midler, chris o'donnell, jack mcbrayer"
63,b702,the incredible hulk,louis leterrier,2008,"edward norton, liv tyler, tim roth, william hurt"
63,a751,the incredible hulk,louis leterrier,2008,"edward norton, liv tyler, tim roth"
63,d3021,the incredible hulk,louis leterrier,2008,"edward norton,liv tyler,tim roth,tim blake nelson,william hurt,lou ferrigno"
63,c1942,the incredible hulk,louis leterrier,2008,"edward norton, liv tyler, tim roth"
64,d2005,wrath of the titans,jonathan liebesman,2012,"sam worthington,liam neeson,ralph fiennes,rosamund pike,bill nighy,danny huston,edgar ramirez,toby kebbell"
64,b270,wrath of the titans,jonathan liebesman,2012,"sam worthington, liam neeson, ralph fiennes, edgar ramirez"
64,c944,wrath of the titans,jonathan liebesman,2012,"sam worthington, liam neeson, rosamund pike"
64,a275,wrath of the titans,jonathan liebesman,2012,"sam worthington, liam neeson, rosamund pike"
65,b843,chandni chowk to china,nikhil advani,2009,"akshay kumar, deepika padukone, gordon liu, mithun chakravorty"
65,d2862,chandni chowk to china,nikhil advani,2009,"akshay kumar,deepika padukone,mithun chakraborty,ranvir shorey,gordon liu,roger yuan"
65,a905,chandni chowk to china,nikhil advani,2009,"akshay kumar, deepika padukone, chia-hui liu"
65,c1736,chandni chowk to china,nikhil advani,2009,"akshay kumar, deepika padukone, chia-hui liu"
66,b2001,the marine,john bonito,2006,"john cena, robert patrick, kelly carlson, anthony ray carlson"
66,a2264,the marine,john bonito,2006,"john cena, kelly carlson, robert patrick"
66,c2283,the marine,john bonito,2006,"john cena, kelly carlson, robert patrick"
67,a640,spy kids: all the time in the world in 4d,robert rodriguez,2011,"jessica alba, jeremy piven, joel mchale"
67,c1226,spy kids: all the time in the world in 4d,robert rodriguez,2011,"jessica alba, jeremy piven, joel mchale"
68,c909,the man with the iron fists,rza,2012,"russell crowe, cung le, lucy liu"
68,a195,the man with the iron fists,rza,2012,"russell crowe, cung le, lucy liu"
68,b191,the man with the iron fists,rza,2012,"russell crowe, lucy liu, cung le, byron mann"
69,a2602,transformers,michael bay,2007,"shia labeouf, megan fox, josh duhamel"
69,c2092,transformers,michael bay,2007,"shia labeouf, megan fox, josh duhamel"
69,d150,transformers,michael bay,2007,"shia labeouf,tyrese gibson,josh duhamel,anthony anderson,megan fox,rachael taylor,john turturro,jon voight"
70,a1915,king kong,peter jackson,2005,"naomi watts, jack black, adrien brody"
70,d268,king kong,peter jackson,2005,"naomi watts,jack black,adrien brody,thomas kretschmann,colin hanks,andy serkis,evan parke"
70,c2437,king kong,peter jackson,2005,"naomi watts, jack black, adrien brody"
70,b1686,king kong,peter jackson,2005,"naomi watts, jack black, adrien brody, thomas kretschmann"
70,d3459,king kong,peter jackson,1933,"jack black, naomi watts, andy serkis, thomas kretschmann, evan parke, adrien brody, colin hanks"
71,c2317,alex rider: operation stormbreaker,geoffrey sax,2006,"alex pettyfer, mickey rourke, sophie okonedo"
71,b2093,alex rider: operation stormbreaker,geoffrey sax,2006,"alex pettyfer, ewan mcgregor, mickey rourke, bill nighy"
71,a2377,alex rider: operation stormbreaker,geoffrey sax,2006,"alex pettyfer, mickey rourke, sophie okonedo"
72,a2925,some velvet morning,neil labute,2013,"stanley tucci, alice eve"
72,b2672,some velvet morning,neil labute,2013,"stanley tucci, alice eve"
72,d1434,some velvet morning,neil labute,2013,"alice eve,stanley tucci"
73,a885,astro boy,david bowers,2009,"freddie highmore, nicolas cage, kristen bell"
73,d2578,astro boy,david bowers,2009,"freddie highmore,nicolas cage,kristen bell,nathan lane,eugene levy,matt lucas,bill nighy,donald sutherland,charlize theron,samuel l. jackson"
73,b826,astro boy (astroboy),david bowers,2009,"freddie highmore, nicolas cage, kristen bell, nathan lane"
73,c1681,astro boy,david bowers,2009,"freddie highmore, nicolas cage, kristen bell"
74,a709,doomsday,neil marshall,2008,"rhona mitra, bob hoskins, alexander siddig"
74,c1921,doomsday,neil marshall,2008,"rhona mitra, bob hoskins, alexander siddig"
75,a258,this means war,mcg,2012,"reese witherspoon, chris pine, tom hardy"
75,b254,this means war,mcg,2012,"reese witherspoon, chris pine, tom hardy, til schweiger"
75,d2043,this means war,mcg,2012,"reese witherspoon,chris pine,tom hardy,til schweiger,angela bassett,chelsea handler"
75,c937,this means war,mcg,2012,"reese witherspoon, chris pine, tom hardy"
76,a1882,the great raid,john dahl,2005,"benjamin bratt, joseph fiennes, james franco"
76,c2422,the great raid,john dahl,2005,"benjamin bratt, joseph fiennes, james franco"
76,b1651,the great raid,john dahl,2005,"benjamin bratt, james franco, joseph fiennes, connie nielsen"
77,d3137,starting out in the evening,andrew wagner,2007,"frank langella,lili taylor,lauren ambrose,adrian lester"
77,a2584,starting out in the evening,andrew wagner,2007,"frank langella, lauren ambrose, patti perkins"
77,b2358,starting out in the evening,andrew wagner,2007,"frank langella, lauren ambrose, lili taylor, adrian lester"
78,a1440,final fantasy: the spirits within,hironobu sakaguchi,2001,"alec baldwin, steve buscemi, ming-na wen"
78,c3024,final fantasy: the spirits within,hironobu sakaguchi,2001,"alec baldwin, steve buscemi, ming-na wen"
79,c2484,zathura: a space adventure,jon favreau,2005,"josh hutcherson, jonah bobo, dax shepard"
79,a2016,zathura: a space adventure,jon favreau,2005,"josh hutcherson, jonah bobo, dax shepard"
80,a227,red tails,anthony hemingway,2012,"cuba gooding jr., gerald mcraney, david oyelowo"
80,d2167,red tails,anthony hemingway,2012,"terrence howard,cuba gooding jr.,bryan cranston,joshua dallas,daniela ruah,david oyelowo,gerald mcraney,ne-yo"
80,b223,red tails,anthony hemingway,2012,"terrence howard, cuba gooding jr., bryan cranston, nate parker"
80,c897,red tails,anthony hemingway,2012,"cuba gooding jr., gerald mcraney, david oyelowo"
81,a1361,vertical limit,martin campbell,2000,"scott glenn, chris o'donnell, bill paxton"
81,c3201,vertical limit,martin campbell,2000,"scott glenn, chris o'donnell, bill paxton"
81,b1180,vertical limit,martin campbell,2000,"chris o'donnell, robin tunney, scott glenn, bill paxton"
82,c609,pawn shop chronicles,wayne kramer,2013,"paul walker, norman reedus, elijah wood"
82,d1632,pawn shop chronicles,wayne kramer,2013,"elijah wood,norman reedus,brendan fraser,vincent d'onofrio,paul walker,dj qualls,lukas haas,matt dillon,thomas jane,pell james"
82,a2878,pawn shop chronicles,wayne kramer,2013,"paul walker, norman reedus, elijah wood"
83,c939,safe house,daniel espinosa,2012,"denzel washington, ryan reynolds, robert patrick"
83,b230,safe house,daniel espinosa,2012,"denzel washington, ryan reynolds, vera farmiga, brendan gleeson"
83,a233,safe house,daniel espinosa,2012,"denzel washington, ryan reynolds, robert patrick"
84,b703,indiana jones and the kingdom of the crystal skull,steven spielberg,2008,"harrison ford, shia labeouf, cate blanchett, karen allen"
84,c1894,indiana jones and the kingdom of the crystal skull,steven spielberg,2008,"harrison ford, cate blanchett, shia labeouf"
84,d3044,indiana jones and the kingdom of the crystal skull,steven spielberg,2008,"harrison ford,cate blanchett,karen allen,shia lebeouf,john hurt,jim broadbent"
84,a752,indiana jones and the kingdom of the crystal skull,steven spielberg,2008,"harrison ford, cate blanchett, shia labeouf"
85,c1806,the boondock saints ii: all saints day,troy duffy,2009,"sean patrick flanery, norman reedus, billy connolly"
85,d2606,the boondock saints ii: all saints day,troy duffy,2009,"sean patrick flanery,norman reedus,billy connolly,clifton collins jr.,julie benz,peter fonda"
85,a895,the boondock saints ii: all saints day,troy duffy,2009,"sean patrick flanery, norman reedus, billy connolly"
86,c2103,aqua teen hunger force colon movie film for theaters,matt maiellaro,2007,"dana snyder, dave willis, carey means"
86,a1105,aqua teen hunger force colon movie film for theaters,matt maiellaro,2007,"dana snyder, dave willis, carey means"
86,b2152,aqua teen hunger force colon movie film for theaters,matt maiellaro,2007,"dana snyder, dave willis, carey means, andy merrill"
87,a2107,crank,mark neveldine,2006,"jason statham, amy smart, carlos sanz"
87,c2343,crank,mark neveldine,2006,"jason statham, amy smart, carlos sanz"
87,b1858,crank,mark neveldine,2006,"jason statham, amy smart, efren ramirez, jose pablo cantillo"
88,c922,men in black 3,barry sonnenfeld,2012,"will smith, tommy lee jones, josh brolin"
88,d1961,men in black iii,barry sonnenfeld,2012,"will smith,tommy lee jones,josh brolin,jemaine clement,emma thompson,michael stuhlbarg,alice eve,david rasche"
88,b194,men in black iii,barry sonnenfeld,2012,"will smith, tommy lee jones, josh brolin, jemaine clement"
88,a198,men in black 3,barry sonnenfeld,2012,"will smith, tommy lee jones, josh brolin"
89,b1989,live free or die hard,len wiseman,2007,"bruce willis, timothy olyphant, justin long, maggie q"
89,a2492,live free or die hard,len wiseman,2007,"bruce willis, justin long, timothy olyphant"
89,c2087,live free or die hard,len wiseman,2007,"bruce willis, justin long, timothy olyphant"
89,d146,live free or die hard,,2007,
90,a1760,sky captain and the world of tomorrow,kerry conran,2004,"gwyneth paltrow, jude law, angelina jolie"
90,b1539,sky captain and the world of tomorrow,kerry conran,2004,"gwyneth paltrow, jude law, giovanni ribisi, angelina jolie"
90,c2608,sky captain and the world of tomorrow,kerry conran,2004,"gwyneth paltrow, jude law, angelina jolie"
91,a2352,the sentinel,clark johnson,2006,"michael douglas, kiefer sutherland, kim basinger"
91,c2298,the sentinel,clark johnson,2006,"michael douglas, kiefer sutherland, kim basinger"
91,b2071,the sentinel,clark johnson,2006,"michael douglas, kiefer sutherland, eva longoria, kim basinger"
91,d230,the sentinel,clark johnson,2006,"michael douglas,kiefer sutherland,kim basinger,eva longoria,david rasche,raoul bhaneja,simon reynolds,danny a. gonzales"
92,a163,hit and run,david palmer,2012,"dax shepard, kristen bell, bradley cooper"
92,b161,hit & run,david palmer,2012,"dax shepard, kristen bell, bradley cooper, tom arnold"
92,c1041,hit and run,david palmer,2012,"dax shepard, kristen bell, bradley cooper"
92,d1809,hit and run,"dax shepard,david palmer",2012,"dax shepard,tom arnold,kristen bell,kal bennett,beau bridges,kristin chenoweth,bradley cooper,michael rosenbaum,jess rowland"
93,c571,the lone ranger,gore verbinski,2013,"johnny depp, armie hammer, william fichtner"
93,b2589,the lone ranger,gore verbinski,2013,"johnny depp, armie hammer, william fichtner, tom wilkinson"
93,a2833,the lone ranger,gore verbinski,2013,"johnny depp, armie hammer, william fichtner"
