ID,Title,Director,Cast,Genre
c42,rudhramadevi,gunasekhar,"anushka shetty, allu arjun, rana daggubati","action, biography, history"
c43,subconscious,georgia hilton,"tim abell, aleisha force, tom stedham","action, mystery, thriller"
c44,tiger house,thomas daley,"kaya scodelario, ed skrein, dougray scott","action, crime, drama"
c45,call me king,r.l. scott,"amin joseph, bai ling, chris mulkey","action, crime, drama"
c46,kidnapping mr. heineken,daniel alfredson,"jim sturgess, sam worthington, ryan kwanten","action, crime, drama"
c47,hayride 2,terron r. parsons,"sherri eakin, jeremy sande, jeremy ivy","action, horror, thriller"
c48,american justice,demetrius navarro,"john schneider, tommy 'tiny' lister, james russo",action
c49,assassin's game,anoop rangi,nan,action
c50,the minnesota delivery,timothy christian,"wilbert jackson, ambyr pruitt, geoff brown",action
c51,roy,vikramjit singh,"ranbir kapoor, jacqueline fernandez, arjun rampal","action, drama, romance"
c52,mortdecai,david koepp,"johnny depp, gwyneth paltrow, ewan mcgregor","action, comedy, mystery"
c53,memories of the sword,heung-sik park,"byung-hun lee, do-yeon jeon, go-eun kim","action, drama, history"
c54,superbob,jon drever,"brett goldstein, catherine tate, natalia tena","action, comedy, romance"
c55,vanish,bryan bockbrader,"maiara walsh, tony todd, danny trejo","action, crime, horror"
c56,hardcore,ilya naishuller,"sharlto copley, haley bennett, danila kozlovsky","action, adventure, sci-fi"
c57,pain,steve rahaman,"daniel girace, david francis calderazzo, kim parshley",action
c58,midnight sex run,ted beck,"jordan kessler, ted beck, dave shalansky","action, adventure, comedy"
c59,skin traffik,ara paiaya,"mickey rourke, daryl hannah, eric roberts","action, crime"
c60,underdog kids,phillip rhee,"phillip rhee, mirelly taylor, max gail","action, family"
c61,welcome back,anees bazmee,"anil kapoor, nana patekar, dimple kapadia","action, comedy, crime"
c62,momentum,stephen s. campanelli,"olga kurylenko, james purefoy, morgan freeman","action, thriller"
c63,spl 2: a time for consequences,pou-soi cheang,"tony jaa, andy on, wu jing","action, crime, drama"
c64,slow west,john maclean,"kodi smit-mcphee, michael fassbender, ben mendelsohn","action, thriller, western"
c65,age of kill,neil jones,"dexter fletcher, april pearson, philip davis",action
c66,callejero,ray gallardo,"martin santander, manny hernandez, carlos palomino","action, drama, sport"
c67,survivor,james mcteigue,"dylan mcdermott, royce pierreson, ben starr","action, crime, thriller"
c68,richard the lionheart: rebellion,stefano milla,"valeri alessandro, elisa allara, lucia allara","action, adventure, drama"
c69,cowboys vs dinosaurs,ari novak,"eric roberts, rib hillis, casey fitzgerald","action, sci-fi"
c70,zero,gyula nemes,"udo kier, kristian howard, martina kratka","action, comedy, drama"
c71,the night crew,christian sesma,"luke goss, danny trejo, chasty ballesteros","action, thriller"
c72,awaken,mark atkins,"daryl hannah, edward furlong, vinnie jones","action, horror, thriller"
c73,the last rescue,eric colley,"brett cullen, cody kasch, gilles marini","action, drama, war"
c74,zombie ninjas vs black ops,rody claude,"rebecca chalon, adam t perkins, korum ellis",action
c75,tevar,amit sharma,"arjun kapoor, sonakshi sinha, manoj bajpayee","action, drama, romance"
c76,zordon of eltar,cisco davis jr.,"gene rush, cisco davis jr., soni aralynn",action
c77,the demolisher,gabriel carrer,"ry barrett, tianna nori, jessica vano","action, horror, thriller"
c78,pocket listing,conor allyn,"rob lowe, burt reynolds, noel gugliemi","action, comedy, crime"
c79,detective byomkesh bakshy!,dibakar banerjee,"sushant singh rajput, anand tiwari, divya menon","action, mystery, thriller"
c80,jalaibee,yasir jaswal,nan,"action, crime, thriller"
c81,phantom,kabir khan,"saif ali khan, katrina kaif, sabyasachi chakraborty","action, drama, thriller"
c82,jurassic prey,mark polonia,"houston baker, james carolus, todd carpenter","action, horror, sci-fi"
c83,in dangerous minds,hussain ahmed,"shawn alli, james tackett, shaker sangam","action, drama"
c84,time teens: the beginning,ryan alexander dewar,"ian grieve, liam brennan, andy gray","action, adventure, fantasy"
c85,mythica: the darkspore,anne k. black,"melanie stone, adam johnson, jake stormoen","action, adventure, fantasy"
c86,parallels,christopher leone,"mark hapka, jessica rothe, eric jungmann","action, sci-fi"
c87,vice,brian a miller,"thomas jane, bruce willis, ambyr childers","action, adventure, sci-fi"
c88,pound of flesh,ernie barbarash,"jean-claude van damme, darren shahlavi, charlotte peters","action, thriller"
c89,rz-9,iain carson,"ethan mcdowell, morgan obenreder, joshua marble","action, sci-fi"
c90,mercenary: absolution,keoni waxman,"steven seagal, byron mann, howard dell","action, adventure, crime"
c91,the assassin,hsiao-hsien hou,"qi shu, chen chang, satoshi tsumabuki","action, drama"
c92,swat: unit 887,timothy woodward jr.,"tom sizemore, mischa barton, timothy woodward jr.","action, thriller"
c93,blunt force trauma,ken sanzel,"mickey rourke, freida pinto, ryan kwanten",action
c94,bad ass 3: bad asses on the bayou,craig moss,"danny trejo, danny glover, john amos","action, drama"
c95,wolf warrior,wu jing,nan,"action, drama, war"
c96,empire of lust,sang-hoon ahn,nan,"action, drama, romance"
c97,6 ways to die,nadeem soumah,"vinnie jones, michael rene walton, vivica a. fox","action, crime, thriller"
c98,katherine,charles w. bailey,"tina grimm, tempast wulf, mel heflin","action, horror, romance"
c99,hood,michael lansu,"thea camara, salvatore covello, harold dennis",action
c100,monk comes down the mountain,kaige chen,nan,"action, history"
c101,helios,lok man leung,"jacky cheung, nick cheung, shawn yue","action, crime, fantasy"
c102,the wave,roar uthaug,"kristoffer joner, thomas bo larsen, ane dahl torp","action, drama, thriller"
c103,bhaag johnny,shivam nair,nan,"action, thriller"
c104,boy 7,lourens blok,"matthijs van de sande bakhuyzen, ella-june henrard, tygo gernandt","action, sci-fi, thriller"
c105,sword of vengeance,jim weedon,"stanley weber, edward akrout, misa beric",action
c106,dragon blade,daniel lee,"jackie chan, john cusack, adrien brody","action, adventure, drama"
c107,badlapur,sriram raghavan,"nawazuddin siddiqui, varun dhawan, radhika apte","action, crime, drama"
c108,gangnam blues,ha yoo,"min-ho lee, rae-won kim, jin-young jung","action, crime, drama"
c109,full strike,chi-kin kwok,"ekin cheng, ronald cheng, josie ho","action, comedy, sport"
c110,freetown,garrett batty,"henry adofo, michael attram, alphonse menyo","action, drama, thriller"
c111,vendetta,jen soska,"dean cain, paul wight, michael eklund","action, drama"
c112,war pigs,ryan little,"luke goss, dolph lundgren, chuck liddell","action, war"
c113,monster hunt,raman hui,"wei tang, baihe bai, eric tsang","action, comedy, fantasy"
c114,checkmate,timothy woodward jr.,"danny glover, sean astin, vinnie jones","action, crime, thriller"
c115,wild city,ringo lam,"louis koo, shawn yue, liya tong","action, crime, thriller"
c116,brothers,karan malhotra,"akshay kumar, jackie shroff, sidharth malhotra","action, drama, sport"
c117,to my beloved,aly muritiba,"fernando alves pinto, mayana neiva, lourinelson vladmir","action, drama, thriller"
c118,holy hell,ryan laplante,"ryan laplante, alysa king, michael rawley","action, comedy, horror"
c119,baby,neeraj pandey,"akshay kumar, danny denzongpa, rana daggubati","action, crime, thriller"
c120,operator,amariah olson,"ving rhames, luke goss, mischa barton","action, drama, thriller"
c121,lazer team,matt hullum,"alan ritchson, alexandria deberry, irina voronina","action, comedy, sci-fi"
c122,levski,maxim genchev,"veselin plachkov, simeon filipov, maxim genchev","action, biography, drama"
c123,born to dance,tammy davis,"kherington payne, john tui, kelvin taylor","action, sport"
c124,12 rounds 3: lockdown,stephen reynolds,"jonathan good, roger r. cross, daniel cudmore","action, crime, thriller"
c125,rod the stormtrooper: episode v - the hidden darkness,brad schinkel,"brian reilly, mike delisle, doug white","action, comedy, sci-fi"
c127,the republic,dimitris tzetzas,"prometheus aleifer, yannis stankoglou, takis spiridakis","action, crime, thriller"
c128,shark killer,sheldon wilson,"derek theler, erica cerra, paul du toit","action, thriller"
c129,strayer's chronicle,takahisa zeze,"tsuyoshi ihara, renji ishibashi, yuina kuroshima",action
c130,diablo,lawrence roeck,"scott eastwood, walton goggins, camilla belle","action, adventure, thriller"
c131,the throwaways,tony bui,"peter brooke, james caan, noel clarke","action, fantasy, thriller"
c132,msg: the messenger,jeetu arora,"saint gurmeet ram rahim singh ji insan, daniel kaleb, fllora saini","action, comedy, drama"
c133,katham katham,babu thooyavan,"nandha, nataraja subramanian, sanam shetty","action, thriller"
c134,iron girl: ultimate weapon,ken'ichi fujiwara,"asami, kirara asuka, hiroaki iwanaga",action
c135,smosh: the movie,alex winter,"ian hecox, anthony padilla, michael ian black","action, adventure, comedy"
c136,batalon,dmitriy meskhiev,"lesya andreeva, mariya antonova, mariya aronova","action, drama, history"
c137,aoki hagane no arpeggio: ars nova dc,mai fuchigami,nan,"animation, action, sci-fi"
c138,antigang,benjamin rocher,"jean reno, alban lenoir, caterina murino","action, drama"
c139,if you know me,gautham menon,"ajith kumar, arun vijay, trisha krishnan","action, drama, mystery"
c140,avengers grimm,jeremy m. inman,"casper van dien, lauren parkinson, lou ferrigno","action, adventure, fantasy"
c141,from vegas to macau ii,jing wong,"pak-cheung chan, nick cheung, david chiang","action, comedy"
c142,hanuman,jimmy henderson,"dara ours, savin phillip, ma rynet","action, drama"
c143,yatchan,vishnuvardhan,"arya, krishna sekhar, deepa sannidhi","action, comedy"
c144,elixir,matthew lipke,"dave allen, ben ash, bob bolyard","action, adventure, drama"
c145,chain of command,kevin carraway,"michael jai white, max ryan, steve austin","action, thriller"
c146,undercover duet,mark wu,"ronald cheng, mark wu, ava liu","action, comedy"
c147,ah boys to men 3: frogmen,jack neo,"tosh zhang, rajid ahamed, joey leong","action, comedy"
c148,kaaki sattai,r.s. durai senthilkumar,"siva karthikeyan, prabhu, sri divya",action
c149,shivam,sreenivasa reddy,"tanikella bharani, brahmanandam, pankaj kesari","action, comedy, romance"
c150,valiyavan,m. saravanan,"jai, andrea jeremiah, bala saravanan",action
c151,temper,puri jagannadh,"junior n.t.r., kajal agarwal, ali","action, drama"
c152,sagaptham,surendran,"shanmugapandian, neha hinge, shubra aaiyappa","action, drama"
c153,purampokku,s.p. jhananathan,"arya, shaam, vijay sethupathi","action, crime, news"
c154,hero,nikhil advani,"sooraj pancholi, athiya shetty, tigmanshu dhulia","action, drama, romance"
c155,mobile suit gundam: the origin i - blue-eyed casval,takashi imanishi,karen strassman,"animation, action, drama"
c156,lake placid vs. anaconda,a.b. stone,"corin nemec, yancy butler, skye lourie","action, horror, sci-fi"
c157,4got10,timothy woodward jr.,"johnny messner, dolph lundgren, danny trejo","action, thriller, western"
c158,far too far,justin hunt,"brandi wethington, abbey hunt, chris overson","action, crime, drama"
c159,god of thunder,thomas shapiro,"max aria, jacqui holland, preston james hillier","action, adventure, fantasy"
c160,road wars,mark atkins,"chloe farnworth, cole parker, john freeman","action, sci-fi"
c161,two thumbs up,ho leung lau,"francis ng, simon yam, leo ku","action, drama"
c162,komban,m. muthaiah,"karthi, lakshmi menon, raj kiran",action
c163,mega shark vs. kolossus,christopher ray,"illeana douglas, amy rider, brody hutzler","action, horror, sci-fi"
c164,the mind's eye,joe begos,"graham skipper, lauren ashley carter, john speredakos","action, horror, sci-fi"
c165,essex boys: law of survival,steven m. smith,"jesse birdsall, chris bell, ross boatman","action, crime, drama"
c166,flight world war ii,emile edwin smith,"faran tahir, robbie kay, aqueela zoll","action, adventure, sci-fi"
c167,problem solver,marius pocevicius,"andrius gecevicius, sonata paliulyte, arnas petkevicius","action, comedy"
c168,lailaa o lailaa,joshiy,"mohanlal, amala paul","action, thriller"
c169,lion,satya deva,"ali, radhika apte, archana","action, drama, romance"
c170,killersaurus,steve lawson,"julian boote, adam collins, helen crevel","action, sci-fi, thriller"
c171,mr. six,hu guan,"xiaogang feng, yifeng li, kris wu",action
c172,india's daughter,rupesh paul,"omkar das manikpuri, amann grewal, vishal om prakash","action, crime, drama"
c173,angry painter,kyu-hwan jeon,"alain garneau, ha-seok jo, moon jong-won","action, drama, thriller"
c174,srimanthudu,koratalla siva,"jagapathi babu, mahesh babu, shruti k. haasan","action, drama"
c175,traukinio apiplesimas kuri ivykde saulius ir paulius,simonas askelavicius,nan,"action, comedy"
c176,samrajyam ii: son of alexander,perarasu,"unni mukundan, devan, k.c. shankar","action, crime, thriller"
c177,kader kuler bou,soubhik kundu,"koneenica banerjee, arindam sil, sankar debnath","action, crime, drama"
c178,veteran,seung-wan ryoo,"jeong-min hwang, ah in yoo, hae-jin yoo","action, comedy, crime"
c179,she kills,ron bonk,"jennie russo, trey harrison, michael merchant","action, horror"
c180,jie jiu wu xian sheng,sheng ding,"andy lau, ye liu, qianyuan wang","action, crime, drama"
c181,agnee 2,iftakar chowdhury,nan,action
c182,uppi 2,upendra,"upendra, kristina akheeva, parul yadav","action, mystery, thriller"
c183,who am i 2015,yinxi song,nan,action
c185,maari,balaji mohan,"dhanush, kajal agarwal, vijay yesudas","action, comedy, drama"
c186,idyll,tomaz gorkic,"nina ivanisin, lotos sparovec, nika rozman","action, horror, thriller"
c187,chandi veeran,a. sarkunam,nan,"action, drama, romance"
c188,double barrel,lijo jose pellissery,"prithviraj sukumaran, indrajith, arya","action, comedy, thriller"
c189,heneral luna,jerrold tarog,"john arcilla, mon confiado, arron villaflor","action, history"
c190,kick 2,reddy surender,"tanikella bharani, brahmanandam, nikitin dheer","action, comedy, romance"
c191,indian soldier never on holiday,a.r. murugadoss,"vijay, kajal agarwal, vidyut jamwal","action, crime, thriller"
c192,faraar,baljit singh deo,"gippy grewal, kainaat arora, jaggi singh",action
c193,thani oruvan,m. raja,"jeyam ravi, nayanthara, arvind swamy","action, thriller"
c194,paayum puli,suseenthiran,"vishal, kajal agarwal, samuthirakani",action
c195,far out,bijan karim,"moe golkar, james sirois, anant khehra","action, crime, thriller"
c197,jaws 19,sergey a.,"sergey a., krolik black, eldar bogunov","action, horror, thriller"
c198,action jackson,prabhudheva,"ajay devgn, shahid kapoor, prabhas","action, comedy, drama"
c199,jersey justice,john charles hunt,"blanche baker, bo svenson, christopher mann","action, thriller"
c200,dracula untold,gary shore,"luke evans, dominic cooper, sarah gadon","action, drama, fantasy"
c201,godzilla,gareth edwards,"aaron taylor-johnson, elizabeth olsen, bryan cranston","action, adventure, sci-fi"
c202,the legend of hercules,renny harlin,"kellan lutz, gaia weiss, scott adkins","action, adventure, fantasy"
c203,the prince,brian a miller,"jason patric, bruce willis, john cusack","action, thriller"
c204,seventh son,sergey bodrov,"ben barnes, julianne moore, jeff bridges","action, adventure, fantasy"
c205,urban games,bob brown,"shawn dou, michelle chen, siu lung sik","action, thriller"
c206,jai ho,sohail khan,"salman khan, tabu, sunil shetty","action, drama"
c207,jack ryan: shadow recruit,kenneth branagh,"chris pine, kevin costner, keira knightley","action, thriller"
c208,300: rise of an empire,noam murro,"sullivan stapleton, eva green, lena headey","action, drama, fantasy"
c209,hercules,brett ratner,"dwayne johnson, john hurt, ian mcshane","action, adventure"
c210,saints and soldiers: the void,ryan little,"adam gregory, timothy s. shoemaker, michael todd behrens","action, drama, war"
c211,teenage mutant ninja turtles,jonathan liebesman,"megan fox, will arnett, william fichtner","action, adventure, comedy"
c212,travelator,dusan milic,"nikola rakocevic, boris isakovic, khetanya henderson","action, drama"
c213,greyscale,ryan dunlap,"ryan dunlap, marisa draeger, tim russ","action, crime, drama"
c214,good people,henrik ruben genz,"james franco, kate hudson, tom wilkinson","action, crime, thriller"
c215,revenge of the green dragons,wai-keung lau,"justin chon, kevin wu, harry shum jr.","action, crime, drama"
c216,wolves,david hayter,"lucas till, stephen mchattie, john pyper-ferguson","action, horror"
c217,sinbad: the fifth voyage,shahin sean solimon,"patrick stewart, isaac c. singleton jr., sadie alexandru","action, adventure, fantasy"
c218,ride along,tim story,"ice cube, kevin hart, tika sumpter","action, comedy"
c219,brick mansions,camille delamarre,"paul walker, david belle, rza","action, crime, drama"
c220,outcast,nick powell,"nicolas cage, hayden christensen, alexandre bailly","action, adventure"
c221,skin trade,ekachai uekrongtham,"dolph lundgren, tony jaa, ron perlman","action, crime, thriller"
c222,how to train your dragon 2,dean deblois,"jay baruchel, cate blanchett, gerard butler","animation, action, adventure"
c223,dead sea,brandon slagle,"james duval, candace kita, devanny pinn","action, horror, sci-fi"
c224,the algerian,giovanni zelko,"ben youcef, candice coke, harry lennix","action, romance, thriller"
c225,the back country,vincente aguilera,"josh rengert, chloe francis, brandon vann","action, adventure, crime"
c226,vampire academy,mark waters,"zoey deutch, lucy fry, danila kozlovsky","action, comedy, fantasy"
c227,the bunker,joe black,"ken shamrock, mike brown, jess weber",action
c228,the monkey king,pou-soi cheang,"donnie yen, yun-fat chow, aaron kwok","action, adventure, family"
c229,the dark forest,michael r. morris,"michael biehn, christine dolce, ash gordey","action, drama, thriller"
c230,sabotage,david ayer,"arnold schwarzenegger, sam worthington, terrence howard","action, crime, drama"
c231,toonstone,brent triplett,"cullen moss, brent triplett, nate panning","animation, action, comedy"
c232,persecuted,daniel lusko,"james remar, dean stockwell, bruce davison","action, drama, mystery"
c233,default,simon brand,"david oyelowo, greg callahan, katherine moennig","action, thriller"
c234,tension(s),vincent lecrocq,"louis mandylor, david kinsman, richard roy sutton","action, crime, drama"
c235,the amazing spider-man 2,marc webb,"andrew garfield, emma stone, jamie foxx","action, adventure, fantasy"
c236,hunting the phantom,marina kunarova,"kristanna loken, armand assante, jose rosete","action, adventure, sci-fi"
c237,pompeii,paul w.s. anderson,"kit harington, emily browning, kiefer sutherland","action, adventure, drama"
c238,contract killers,mathew john pearson,"richard alexander, dallas barnett, renee cataldo","action, crime, thriller"
c239,everly,joe lynch,"salma hayek, hiroyuki watanabe, laura cepeda","action, thriller"
c240,red sky,mario van peebles,"cam gigandet, rachael leigh cook, mario van peebles","action, thriller"
c241,battle b-boy,frank lin,"jae phan, alison dahlstrom, ricky cole","action, comedy, sport"
c242,noah,darren aronofsky,"russell crowe, jennifer connelly, anthony hopkins","action, adventure, drama"
c243,strike one,david llauger meiselman,"danny trejo, james russo, billy gallo","action, crime, drama"
c244,tom sawyer & huckleberry finn,jo kastner,"katherine mcnamara, val kilmer, jake t. austin","action, adventure, drama"
c245,slaughter is the best medicine,rishi thaker,"nigel woodings, a.d. barker, andrew gibney","action, drama, mystery"
c246,heavenly sword,gun ho jang,"ashleigh ball, barry dennen, renae geerlings","animation, action, adventure"
c247,devil's mile,joseph o'brien,"david hayter, maria del mar, casey hudecki","action, crime, horror"
c248,non-stop,jaume collet-serra,"liam neeson, julianne moore, scoot mcnairy","action, mystery, thriller"
c249,kite,ralph ziman,"india eisley, jaco muller, annabel linder","action, crime, drama"
c250,rapture,richard lowry,"blair besten, jacqueline buda, dagmar edwards","action, sci-fi, thriller"
c251,seal patrol,nicolas aaron mezzanatto,"kristina anapau, james c. burns, tina casciani","action, sci-fi, thriller"
c252,sultanat,syed faisal bukhari,"javeria abbasi, raheela agha, haroon ashraf","action, drama, romance"
c253,big game,jalmari helander,"samuel l. jackson, onni tommila, ray stevenson","action, adventure"
c254,percentage,alex merkin,"cam'ron, omar gooding, ving rhames","action, crime, thriller"
c255,battle,john jillard sr.,"john jillard sr., brian anthony wilson, kimberly bada",action
c256,in the blood,john stockwell,"gina carano, cam gigandet, danny trejo","action, crime, thriller"
c257,dawn of the planet of the apes,matt reeves,"gary oldman, keri russell, andy serkis","action, drama, sci-fi"
c258,into the storm,steven quale,"richard armitage, sarah wayne callies, matt walsh","action, thriller"
c259,swelter,keith parmer,"jean-claude van damme, lennie james, alfred molina","action, crime, drama"
c260,robot overlords,jon wright,"gillian anderson, ben kingsley, callan mcauliffe","action, adventure, sci-fi"
c261,hackney's finest,chris bouchard,"nathanael wiseman, arin alldridge, enoch frost","action, comedy, crime"
c262,gone with the bullets,wen jiang,"zhang wen, zhiwen wang, huang hung","action, comedy, drama"
c263,r.a.d.i.c.a.l.s,berenika maciejewicz,"michela crayton, keith nagel, adia dinh","action, adventure, family"
c264,heaven is hell,mike meyer,"lindsey marks, christopher marcum, ethan henry","action, comedy, fantasy"
c265,3 days to kill,mcg,"kevin costner, hailee steinfeld, connie nielsen","action, drama, thriller"
c266,the cure,david gould,"gabriel abreu, gino acevedo, david allen","action, sci-fi, thriller"
c267,to survive,stephen folker,"burt culver, ramon bailey, berkeley clayborne","action, adventure, drama"
c269,bachelor games,edward mcgown,"charlie bewley, mike noble, jack gordon","action, adventure, comedy"
c270,c.o.o.l.i.o time travel gangster,paul j. lane,"geoff bell, vicki michelle, paul j. lane","action, sci-fi"
c271,the outsider,brian a miller,"craig fairbrass, james caan, jason patric","action, crime, drama"
c272,montana,mo ali,"michelle fairley, lars mikkelsen, dominique tipper","action, crime, drama"
c273,yevadu,vamsi paidipally,"ram charan, allu arjun, shruti k. haasan","action, thriller"
c274,australiens,joe bauer,"rita artmann, tamara mclaughlin, lawrence silver","action, comedy, sci-fi"
c275,common outlaws,louie iaccarino,"louie iaccarino, john druska, gregory p. loomis","action, drama, western"
c276,pro wrestlers vs zombies,cody knotts,"roddy piper, jim duggan, matt hardy","action, comedy, horror"
c277,gutshot straight,justin steele,"george eads, annalynne mccord, steven seagal","action, thriller"
c278,kill kapone,alfredo ramos,"ronnie alvarez, noel gugliemi, rico aiello","action, crime, drama"
c279,the raid 2,gareth evans,"iko uwais, yayan ruhian, arifin putra","action, crime, thriller"
c280,the control group,peter hurd,"brad dourif, ross destiche, jenna enemy","action, horror, sci-fi"
c281,star wars: threads of destiny,rasmus tirzitis,"patrik hont, carolina neurath, karl lindqvist","action, adventure, sci-fi"
c282,redirected,emilis velyvis,"vinnie jones, scot williams, gil darnell","action, comedy, crime"
c283,now hiring,mark cantu,"camden toy, johanna goldsmith, claire tablizo","action, comedy, family"
c284,brutal,donald lawrence flaherty,"morgan benoit, jeff hatch, david mattey","action, drama, horror"
c285,22 jump street,phil lord,"channing tatum, jonah hill, ice cube","action, comedy, crime"
c286,falcon rising,ernie barbarash,"neal mcdonough, michael jai white, lateef crowder","action, adventure"
c287,fury: the tales of ronan pierce,kevin a. mccarthy,"michael mccarthy, jordan elizabeth, kane hodder","action, adventure, horror"
c288,infiltrators,michael stokes,"jonny cruz, nathalie kelley, hallee hirsh",action
c289,singham returns,rohit shetty,"kareena kapoor, ajay devgn, anupam kher","action, drama"
c290,freezer,mikael salomon,"peter facinelli, dylan mcdermott, yuliya snigir","action, thriller"
c291,broken,damian x. fulton,"soren fulton, felix ryan, whitney goin","action, adventure, drama"
c292,the expendables 3,patrick hughes,"sylvester stallone, jason statham, jet li","action, adventure, thriller"
c293,rogue strike,kerry beyer,"kerry beyer, john lansch, deke anderson",action
c294,kochadaiiyaan,soundarya r. ashwin,"rajinikanth, deepika padukone, sarath kumar","animation, action, adventure"
c295,bad country,chris brinker,"matt dillon, willem dafoe, neal mcdonough","action, crime, drama"
c296,tapped out,allan ungar,"michael biehn, cody hackman, krzysztof soszynski","action, drama, sport"
c297,need for speed,scott waugh,"aaron paul, dominic cooper, imogen poots","action, crime, drama"
c298,kick,sajid nadiadwala,"salman khan, jacqueline fernandez, nawazuddin siddiqui","action, comedy, romance"
c299,1,sukumar,"mahesh babu, kriti sanon, nasser","action, mystery, thriller"
c300,blood first,najaa young,"wanda anthony, mychal bailey, jason baker","action, crime, drama"
c301,the popcorn chronicles,emilio portes,"ana de la reguera, karla souza, kate del castillo","action, comedy"
c302,die fighting,fabien garcia,"fabien garcia, laurent buson, didier buson","action, thriller"
c303,assassins,michael bonomo,"bill oberst jr., stephen katz, dove meir","action, drama, thriller"
c304,gang money run,r. scott leisk,"wesley blake, denise downs, jesse campos","action, drama, romance"
c305,american muscle,ravi dhar,"nick principe, robin sydney, todd farmer",action
c306,the hideout,denny barnes,"jinhee joung, jeff trenkle, tracey dukes","action, horror, thriller"
c307,kill me three times,kriv stenders,"simon pegg, teresa palmer, alice braga","action, comedy, thriller"
c308,to the hilt,stole popov,"inti sraj, sasko kocev, martin jordanoski","action, drama, history"
c309,rage,paco cabezas,"nicolas cage, rachel nichols, max ryan","action, crime, thriller"
c310,the november man,roger donaldson,"pierce brosnan, luke bracey, olga kurylenko","action, crime, thriller"
c311,ironclad: battle for blood,jonathan english,"roxanne mckee, michelle fairley, tom austen","action, adventure"
