id,movie_name,year,directors,actors,critic_rating,genre,pg_rating,duration
16,zodiac,2007,David Fincher,"Mark Ruffalo,Jake Gyllenhaal,Robert Downey Jr.,Anthony Edwards,Brian Cox,Charles Fleischer,Zach Grenier,Philip Baker Hall,Elias Koteas,John Carroll Lynch,Dermot Mulroney,Chloe Sevigny",4.0,"Crime, Drama, Mystery, Thriller",Rated R,157 minutes
17,ratatouille,2007,Brad Bird,"Patton Oswalt,Ian Holm,Lou Romano,Peter O'Toole,Brad Garrett,Janeane Garofalo,Peter Sohn,Brian Dennehy,Will Arnett",4.0,"Animation, Comedy, Family",Rated G,111 minutes
18,balls of fury,2007,,"Dan Fogler,Christopher Walken,George Lopez,Robert Patrick,James Hong,Maggie Q,Thomas Lennon,Patton Oswalt",2.5,"Comedy, Sports Film",Rated PG-13,90 minutes
19,pan's labyrinth,2006,"Guillermo Del Toro, Guillermo Del Toro","Ivana Baquero,Maribel Verdu,Sergi Lopez,Ariadna Gil,Alex Angulo,Doug Jones",4.0,"Drama, Fantasy, Foreign, Science Fiction, War",Rated R,118 minutes
20,delirious,2007,Tom Dicillo,"Michael Pitt,Steve Buscemi,Alison Lohman,Gina Gershon,Joseph D'Onofrio,Rodrigo Lopresti,Cinque Lee",3.5,"Comedy, Drama, Indie, Romance",Rated NR,107 minutes
21,self medicated,2007,Monty Lapica,"Monty Lapica,Diane Venora,Kristina Anapau,William Stanford Davis",3.0,"Drama, Indie",Rated R,107 minutes
22,death sentence,2007,James Wan,"Kevin Bacon,Aisha Tyler,Kelly Preston,Stuart Lafferty,Garrett Hedlund,Matthew O'Leary,John Goodman",2.5,"Action, Crime, Drama, Thriller",Rated R,105 minutes
23,trade,2007,Marco Kreuzpaintner,"Kevin Kline,Cesar Ramos,Alicja Bachleda-Curus,Paulina Gaitan,Linda Emond",1.0,"Drama, Indie, Thriller",Rated R,119 minutes
24,children of men,2007,Alfonso Cuaron,"Clive Owen,Julianne Moore,Michael Caine,Chiwetel Ejiofor,Clare-Hope Ashitey,Pam Ferris",4.0,"Action, Adventure, Drama, Foreign, Science Fiction, Thriller",Rated R,109 minutes
25,feast of love,2007,Robert Benton,"Morgan Freeman,Jane Alexander,Greg Kinnear,Selma Blair,Radha Mitchell,Stana Katic,Fred Ward,Alexa Davalos,Billy Burke,Sherilyn Lawson",2.0,"Comedy, Drama, Romance",Rated R,101 minutes
26,into the wild,2007,Sean Penn,"Emile Hirsch,Vince Vaughn,Catherine Keener,Brian Dierker,Hal Holbrook,Marcia Gay Harden,William Hurt,Kristen Stewart,Jena Malone",4.0,"Action, Adventure, Drama",Rated R,148 minutes
27,the great dictator,1940,Charles Chaplin,"Chaplin,Jack Oakie,Paulette Goddard,Reginald Gardiner",4.0,Comedy,Rated G,125 minutes
28,the darjeeling limited,2007,Wes Anderson,"Owen Wilson,Adrien Brody,Jason Schwartzman,Amara Karan,Camilla Rutherford,Wally Wolodarsky,Waris Ahluwalia,Barbet Schroeder,Irfan Khan,Bill Murray,Anjelica Huston,Natalie Portman",3.5,"Adventure, Comedy, Drama",Rated R,91 minutes
29,i want someone to eat cheese with,2007,Jeff Garlin,"Jeff Garlin,Bonnie Hunt,Sarah Silverman,Amy Sedaris,Joey Slotnick,Gina Gershon,Paul Mazursky,Mina Kolb,Richard Kind,Dan Castellaneta,Tim Kazurinsky,Steve Dahl",3.0,"Comedy, Indie, Romance",Rated NR,
30,michael clayton,2007,Tony Gilroy,"George Clooney,Sean Cullen,Tom Wilkinson,Tilda Swinton,Sydney Pollack,Michael O'Keefe,Ken Howard,Denis O'Hare",4.0,"Drama, Mystery, Thriller",Rated R,119 minutes
31,"lust, caution",2007,Ang Lee,"Tony Leung,Joan Chen,Tang Wei,Chu Tsz-ying,Wang Lee Hom",3.0,"Action, Drama, Foreign, Indie, Romance, Thriller",Rated NC-17,156 minutes
32,the heartbreak kid,2007,"Bobby,Peter Farrelly","Ben Stiller,Malin Akerman,Michelle Monaghan,Jerry Stiller,Rob Corddry,Carlos Mencia,Kathy Lamkin",2.0,"Comedy, Romance",Rated R,116 minutes
33,the assassination of jesse james by the coward robert ford,2007,Andrew Dominik,"Brad Pitt,Casey Affleck,Sam Shepard,Mary-Louise Parker,Paul Schneider,Jeremy Renner,Garret Dillahunt,Zooey Deschanel,Michael Parks,Ted Levine,Sam Rockwell,Alison Elliott,James Carville,Tom Aldredge,Kailin See,Hugh Ross",3.5,"Action, Drama, Western",Rated R,160 minutes
34,we own the night,2007,James Gray,"Joaquin Phoenix,Mark Wahlberg,Robert Duvall,Eva Mendes,Tony Musante,Moni Moshonov,Alex Veadov",3.0,"Action, Drama",Rated R,117 minutes
35,el topo,1970,Alejandro Jodorowsky,"Alejandro Jodorowsky,Brontis Jodorowsky,Jose Legarreta,Alfonso Arau",4.0,"Action, Adventure, Drama, Foreign, Western",Rated NR,125 minutes
36,elizabeth: the golden age,2007,Shekhar Kapur,"Cate Blanchett,Geoffrey Rush,Clive Owen,Samantha Morton,Rhys Ifans,Abbie Cornish,Jordi Molla",2.5,"Drama, Foreign, History, Romance",Rated PG-13,114 minutes
37,sleuth,2007,Kenneth Branagh,"Michael Caine,Jude Law,Alec Cawthorne,Eve Channing",3.0,Thriller,Rated R,86 minutes
38,shut up and sing,2007,"Barbara Kopple,Cecilia Peck","Natalie Maines,Emily Robison,Martie McGuire,Simon Renshaw",3.5,Documentary,,93 minutes
39,away from her,2006,Sarah Polley,"Julie Christie,Gordon Pinsent,Olympia Dukakis,Michael Murphy,Kristen Thomson,Wendy Crewson,Alberta Watso",4.0,"Drama, Indie, Romance",Rated PG-13,110 minutes
40,canvas,2007,Joseph Greco,"Joe Pantoliano,Marcia Gay Harden,Devon Gearhart,Sophia Bairley",3.0,"Drama, Indie",Rated PG-13,101 minutes
41,rendition,2007,Gavin Hood,"Jake Gyllenhaal,Reese Witherspoon,Omar Metwally,Meryl Streep,Alan Arkin,Peter Sarsgaard",4.0,"Drama, Mystery, Thriller",Rated R,120 minutes
42,lars and the real girl,2007,Craig Gillespie,"Ryan Gosling,Emily Mortimer,Paul Schneider,Patricia Clarkson,Kelli Garner,Lauren Ash,Nancy Beatty",3.5,"Comedy, Indie, Romance",Rated PG-13,106 minutes
43,30 days of night,2007,David Slade,"Josh Hartnett,Danny Huston,Ben Foster,Melissa George,Manu Bennett",2.5,"Action, Horror, Thriller",Rated R,113 minutes
44,broken,2007,Alan White,"Heather Graham,Jeremy Sisto,Jake Busey,Tess Harper,Linda Hamilton,Chad Cunningham",2.0,"Drama, Foreign, Horror, Thriller",Rated R,97 minutes
45,things we lost in the fire,2007,Susanne Bier,"Halle Berry,Benicio Del Toro,David Duchovny,Alison Lohman,Omar Benson Miller,John Carroll Lynch",3.0,Drama,Rated R,113 minutes
46,gone baby gone,2007,Ben Affleck,"Casey Affleck,Michelle Monaghan,Morgan Freeman,Ed Harris,John Ashton,Amy Ryan,Amy Madigan,Titus Welliver",3.5,"Crime, Drama, Mystery, Thriller",Rated R,114 minutes
47,across the universe,2007,Julie Taymor,"Jim Sturgess,Joe Anderson,Dana Fuchs,T.V. Carpio,Bono,Eddie Izzard,Martin Luther McCoy",4.0,"Adventure, Drama, Music, Romance",Rated PG-13,133 minutes
48,in the valley of elah,2007,Paul Haggis,"Tommy Lee Jones,Charlize Theron,Jason Patric,Susan Sarandon,Jonathan Tucker,James Franco",4.0,"Crime, Drama, Mystery, Thriller",Rated R,124 minutes
49,december boys,2007,Rod Hardy,"Daniel Radcliffe,Lee Cormie,Christian Byers,James Fraser,Teresa Palmer,Victoria Hill",2.0,"Drama, Foreign, Romance",Rated PG-13,105 minutes
50,good luck chuck,2007,Mark Helfrich,"Dane Cook,Jessica Alba,Dan Fogler,Michelle Harrison,Ellia English,Sasha Pieterse",1.0,"Comedy, Drama, Fantasy, Romance",Rated R,101 minutes
51,the lives of others,2007,"Florian Henckel, Florian Henckel","Ulrich Muehe,Sebastian Koch,Martina Gedeck,Ulrich Tukur,Thomas Thieme,Hans Uwe Bauer",4.0,"Action, Drama, Foreign, Thriller",Rated R,137 minutes
52,babel,2006,Alejandro Gonzalez Inarritu,,4.0,"Drama, Indie",Rated R,143 minutes
53,dedication,2007,Justin Theroux,"Billy Crudup,Mandy Moore,Tom Wilkinson,Martin Freeman,Bob Balaban,Dianne Wiest,Bobby Cannavale,Amy Sedaris,Peter Bogdanovich",2.0,"Comedy, Drama, Indie, Romance",Rated R,95 minutes
54,jane austen book club,2007,Robin Swicord,"Kathy Baker,Maria Bello,Emily Blunt,Amy Brenneman,Hugh Dancy,Maggie Grace,Lynn Redgrave,Jimmy Smits,Nancy Travis",3.5,"Comedy, Drama, Romance",Rated PG-13,106 minutes
55,king of california,2007,Michael Cahill,"Michael Douglas,Evan Rachel Wood,Willis Burks II,Greg Davis Jr.,Gerald Emerick",3.0,"Comedy, Indie",Rated PG-13,96 minutes
56,harry potter and the order of the phoenix,2007,David Yates,"Daniel Radcliffe,Rupert Grint,Emma Watson,Maggie Smith,Michael Gambon,Alan Rickman,Imelda Staunton,Helena Bonham-Carter,Robbie Coltrane,Ralph Fiennes,Gary Oldman,Brendan Gleeson,Richard Griffiths,Jason Isaacs",2.5,"Adventure, Family, Fantasy, Science Fiction",Rated PG-13,138 minutes
57,cabiria,1914,Giovanni Pastrone,,4.0,"Drama, Foreign, History",Rated NR,148 minutes
58,the devil wears prada,2006,David Frankel,"Meryl Streep,Anne Hathaway,Emily Blunt,Stanley Tucci,Adrian Grenier,Tracie Thoms,Simon Baker",2.0,Comedy,Rated PG-13,109 minutes
59,"you, me and dupree",2006,"Anthony Russo,Joe Russo","Owen Wilson,Matt Dillon,Kate Hudson,Michael Douglas,Amanda Detmer,Seth Rogen",2.0,"Comedy, Romance",Rated PG-13,108 minutes
60,lady in the water,2006,M. Night Shyamalan,"Paul Giamatti,Bryce Dallas Howard,Jeffrey Wright,Bob Balaban,M. Night Shyamalan,Cindy Cheung",1.5,"Comedy, Drama, Fantasy, Horror, Mystery, Science Fiction, Thriller",Rated PG-13,110 minutes
61,john tucker must die,2006,Betty Thomas,"Jesse Metcalfe,Brittany Snow,Ashanti,Sophia Bush,Arrielle Kebbel,Penn Badgley,Jenny McCarthy,Fatso-Fasano",2.0,"Comedy, Family, Romance",Rated PG-13,89 minutes
62,scoop,2006,Woody Allen,,2.0,"Comedy, Drama, Foreign, Mystery, Romance, Science Fiction, Thriller",Rated PG-13,96 minutes
63,talladega nights: the ballad of ricky bobby,2005,Adam McKay,"Will Ferrell,John C. Reilly,Sacha Baron Cohen,Gary Cole,Michael Clarke Duncan,Leslie Bibb,Jane Lynch,Amy Adams,Andy Richter,Molly Shannon",3.5,"Action, Comedy",Rated PG-13,108 minutes
64,the descent,2006,Neil Marshall,"Shauna Macdonald,Natalie Mendoza,Alex Reid,Saskia Mulder,MyAnna Buring,Nora-Jane Noone",4.0,"Adventure, Foreign, Horror",Rated R,99 minutes
65,little miss sunshine,2006,"Jonathan Dayton,Valerie Farris","Greg Kinnear,Steve Carell,Toni Collette,Alan Arkin,Abigail Breslin,Paul Dano",3.5,"Comedy, Drama, Indie",Rated R,102 minutes
66,the night listener,2006,Patrick Stettner,"Robin Williams,Toni Collette,Rory Culkin,Sandra Oh",3.0,"Drama, Indie, Thriller",Rated R,91 minutes
67,world trade center,2006,Oliver Stone,"Nicolas Cage,Maria Bello,Michael Pena,Maggie Gyllenhaal,Stephen Dorff,Jay Hernandez,Patti D'Arbanville",2.5,"Action, Disaster, Drama, History",Rated PG-13,128 minutes
68,quinceañera,2006,,"Emily Rios,Jesse Garcia,Chalo Gonzalez,David W. Ross,J.R. Cruz,Araceli Guzman-Rico,Jesus Castanos-Chima,Johnny Chavez,Alicia Sixtos",2.5,Drama,Rated R,
69,the illusionist,2006,Neil Burger,"Edward Norton,Paul Giamatti,Jessica Biel",3.5,"Drama, Fantasy, Romance, Thriller",Rated PG-13,110 minutes
70,boynton beach club,2006,Susan Seidelman,"Joseph Bologna,Dyan Cannon,Len Cariou,Sally Kellerman,Michael Nouri,Brenda Vaccaro,Renee Taylor",2.5,"Comedy, Drama, Indie, Romance",Rated NR,105 minutes
71,marie antoinette,2006,Sofia Coppola,"Kirsten Dunst,Jason Schwartzman,Judy Davis,Rip Torn,Rose Byrne,Asia Argento,Molly Shannon,Shirley Henderson",4.0,"Drama, History, Romance",Rated PG-13,123 minutes
72,factotum,2006,Bent Hamer,"Matt Dillon,Lili Taylor,Marisa Tomei,Fisher Stevens,Didier Flamand",2.5,"Comedy, Drama, Indie, Romance",Rated R,94 minutes
73,rescue dawn,2007,Werner Herzog,"Christian Bale,Steve Zahn,Jeremy Davies,Zach Grenier",3.5,"Action, Adventure, Drama, History, Indie",Rated PG-13,126 minutes
74,conversations with other women,2006,,"Helena Bonham-Carter,Aaron Eckhart,Nora Zehetner,Erik Eidem,Olivia Wilde,Thomas Lennon,Cerina Vincent,Brianna Brown,Brian Geraghty",3.5,"Comedy, Drama, Indie, Romance",Rated R,84 minutes
75,half nelson,2006,Ryan Fleck,"Ryan Gosling,Shareeka Epps,Anthony Mackie,Karen Chilton",4.0,"Drama, Indie",Rated R,107 minutes
76,this film is not yet rated,2006,Kirby Dick,,3.0,Documentary,Rated NR,97 minutes
77,the science of sleep,2006,Michel Gondry,"Gael Garcia Bernal,Charlotte Gainsbourg,Alain Chabat,Miou-Miou,Pierre Vaneck",2.5,"Comedy, Drama, Fantasy, Foreign, Romance, Science Fiction",Rated R,105 minutes
78,the u.s. vs. john lennon,2006,"David Leaf, John Scheinfeld",,3.0,"Documentary, Indie, Music",Rated PG-13,99 minutes
79,shortbus,2006,John Cameron Mitchell,"Sook-Yin Lee,Paul Dawson,PJ DeBoy,Raphael Barker,Peter Stickles,Jay Brannan",3.5,"Drama, Indie, Romance",Rated NR,101 minutes
80,the queen,2006,Stephen Frears,"Helen Mirren,Michael Sheen,James Cromwell,Sylvia Syms,Paul Barrett,Helen McCrory",4.0,"Drama, Foreign",Rated PG-13,103 minutes
81,little children,2006,Todd Field,"Kate Winslet,Jennifer Connelly,Patrick Wilson,Jackie Earle Haley,Noah Emmerich,Gregg Edelman",2.5,"Comedy, Drama, Indie, Romance",Rated R,136 minutes
82,infamous,2006,Douglas McGrath,"Toby Jones,Sandra Bullock,Daniel Craig,Lee Pace,Juliet Stevenson,Sigourney Weaver,Jeff Daniels,Peter Bogdanovich,Hope Davis,Gwyneth Paltrow,Isabella Rossellini",2.5,Drama,Rated R,110 minutes
83,man push cart,2006,Ramin Bahrani,"Ahmad Razvi,Leticia Dolera,Charles Daniel Sandoval,Ali Reza",4.0,"Drama, Indie",Rated NR,87 minutes
84,the bridge,2006,Eric Steel,,4.0,Documentary,Rated R,93 minutes
85,old joy,2006,Kelly Reichart,"Will Oldham,Daniel London,Tanya Smith",4.0,"Drama, Indie",Rated NR,73 minutes
86,49 up,2006,Michael Apted,,4.0,"Documentary, Foreign",Rated NR,180 minutes
87,stranger than fiction,2006,Marc Forster,"Will Ferrell,Emma Thompson,Maggie Gyllenhaal,Dustin Hoffman,Queen Latifah,Linda Hunt",3.5,"Comedy, Drama, Fantasy, Romance, Science Fiction",Rated PG-13,113 minutes
88,borat: cultural learnings of america for make benefit glorious nation of kazakhstan,2006,Larry Charles,"Sacha Baron Cohen,Ken Vavitian,Herself",4.0,Comedy,Rated R,82 minutes
89,51 birch street,2006,Doug Block,,4.0,Documentary,Rated NR,90 minutes
90,fur: an imaginary portrait of diane arbus,2006,Steven Shainberg,"Nicole Kidman,Robert Downey Jr.,Ty Burrell",2.5,"Drama, Mystery, Romance",Rated R,122 minutes
91,for your consideration,2006,Christopher Guest,"Catherine O'Hara,Harry Shearer,Bob Balaban,Ricky Gervais,Christopher Guest,Eugene Levy,Michael McKean,Parker Posey,Fred Willard",3.5,"Comedy, Documentary, Drama",Rated PG-13,86 minutes
92,jonestown: the life and death of peoples temple,2006,Stanley Nelson,,3.0,"Documentary, History",Rated NR,86 minutes
93,volver,2006,Pedro Almodovar,"Penelope Cruz,Carmen Maura,Lola Duenas,Blanca Portillo,Yohana Cobo",4.0,"Comedy, Drama, Foreign, Romance",Rated R,121 minutes
94,the good shepherd,2006,Robert De Niro,"Matt Damon,Angelina Jolie,Alec Baldwin,Billy Crudup,Robert De Niro,Keir Dullea",2.0,"Action, Drama, Thriller",Rated R,167 minutes
95,perfume: the story of a murderer,2007,Tom Tykwer,"Ben Whishaw,Dustin Hoffman,Alan Rickman,John Hurt,Rachel Hurd-Wood,Karoline Herfurth,David Calder",4.0,"Drama, Fantasy, Foreign",Rated R,147 minutes
96,letters from iwo jima,2007,Clint Eastwood,"Ken Watanabe,Kazunari Ninomiya,Tsuyoshi Ihara,Ryo Kase,Shidou Nakamura",4.0,"Action, Adventure, Drama, Foreign, War",Rated R,141 minutes
97,inland empire,2007,David Lynch,"Laura Dern,Jeremy Irons,Harry Dean Stanton,Justin Theroux,Peter J. Lucas",4.0,"Drama, Indie, Mystery, Thriller",Rated R,172 minutes
98,tears of the black tiger,2007,Wisit Sasanatieng,"Chartchai Ngamsan,Stella Malucchi,Suwinit Panjamawat,Supakorn Kitsuwon,Arawat Ruangvuth,Sombati Medhanee",3.0,"Action, Drama, Foreign, Romance, Western",Rated NR,110 minutes
99,climates,2007,Nuri Bilge Ceylan,"Ebru Ceylan,Nuri Bilge Ceylan,Nazan Kirilmis,Mehmet Eryilmaz,Arif Asci",3.5,"Drama, Foreign, Indie, Romance",Rated NR,101 minutes
100,days of glory,2007,Rachid Bouchareb,"Jamel Debbouze,Samy Naceri,Roschdy Zem,Sami Bouajila,Bernard Blancan",3.5,,Rated R,
101,black snake moan,2007,Craig Brewer,"Samuel L. Jackson,Christina Ricci,John Cothran Jr.,Justin Timberlake,S. Epatha Merkerson",3.0,"Drama, Indie",Rated R,116 minutes
102,an unreasonable man,2007,"Henriette Mantel, Steve Skrovan",,2.0,Documentary,Rated NR,122 minutes
103,breaking and entering,2007,Anthony Minghella,"Jude Law,Juliette Binoche,Robin Wright Penn,Vera Farmiga,Rafi Gavron,Poppy Rogers",2.0,"Drama, Foreign, Romance",Rated R,129 minutes
104,the host,2007,Bong Joon-ho,"Song Kang-Ho,Byun Hee-Bong,Park Hae-Il,KoA-Sung,Bae Doo-Na,Scott Wilson",3.5,"Comedy, Drama, Foreign, Horror",Rated R,119 minutes
105,mafioso,2007,,,3.5,"Action, Comedy, Crime, Drama, Foreign",Rated Not rated,105 minutes
106,talk to me,2007,Kasi Lemmons,"Don Cheadle,Chiwetel Ejiofor,Mike Epps,Martin Sheen,Vondie Curtis-Hall",3.5,"Drama, Musical",Rated R,118 minutes
107,wr: mysteries of the organism,1971,Dusan Makavejev,"Milena Dravic,Jagoda Kaloper,Ivica Vidovic,Zoran Radmilovic,Tuli Kupferberg,Jackie Curtis,Michael Gelovani",4.0,"Comedy, Drama, Fantasy",,84 minutes
108,sunshine,2007,Danny Boyle,"Michelle Yeoh,Cillian Murphy,Chris Evans,Troy Garity,Rose Byrne,Cliff Curtis,Benedict Wong,Hiroyuki Sanada",3.0,"Adventure, Foreign, Science Fiction, Thriller",Rated R,107 minutes
109,interview,2007,Steve Buscemi,"Steve Buscemi,Sienna Miller,Tara Elders,Molly Griffith",3.0,"Drama, Indie",Rated NR,100 minutes
110,goya's ghosts,2007,Milos Forman,"Javier Bardem,Natalie Portman,Stellan Skarsgard,Randy Quaid,Jose Luis Gomez,Michael Lonsdale,Blanca Portillo",3.0,Drama,Rated R,114 minutes
111,hairspray,2007,Adam Shankman,"Nikki Blonsky,John Travolta,Michelle Pfeiffer,Christopher Walken,Amanda Bynes,James Marsden,Queen Latifah,Zac Efron,Jerry Stiller",3.5,"Comedy, Music",Rated PG,115 minutes
112,cashback,2007,Sean Ellis,"Sean Biggerstaff,Emilia Fox,Shaun Evans,Michelle Ryan,Stuart Goodwin,Michael Dixon,Michael Lambourne,Marc Pickering",2.5,"Comedy, Drama, Foreign, Romance",Rated R,102 minutes
113,broken english,2007,Zoe Cassavetes,"Parker Posey,Melvil Poupaud,Drea de Matteo,Justin Theroux,Josh Hamilton,Tim Guinee,Gena Rowlands,Peter Bogdanovich,Roy Thinnes",2.5,"Comedy, Drama, Indie, Romance",Rated PG-13,97 minutes
114,my best friend,2007,Patrice Leconte,"Daniel Auteuil,Dany Boon,Julie Gayet,Julie Durand,Henri Garcin",3.0,"Comedy, Drama, Foreign, Indie",Rated PG-13,90 minutes
115,vitus,2007,Fredi M. Murer,"Julika Jenkins,Urs Jucker,Bruno Ganz,Eleni Haupt",3.0,"Drama, Foreign, Indie, Music",Rated PG,100 minutes
116,the simpsons movie,2007,David Silverman,"Dan Castellaneta,Julie Kavner,Nancy Cartwright,Yeardley Smith,Hank Azaria,Harry Shearer,Kelsey Grammer,Joe Mantegna",3.0,"Animation, Comedy, Family",Rated PG-13,87 minutes
117,no reservations,2007,Scott Hicks,"Catherine Zeta-Jones,Aaron Eckhart,Abigail Breslin,Patricia Clarkson,Bob Balaban,Brian F. O'Byrne",2.0,"Comedy, Drama, Romance",Rated PG,104 minutes
118,killer of sheep,1977,Charles Burnett,"Henry Gayle Sanders,Kaycee Moore",4.0,"Drama, Indie",,83 minutes
119,hot rod,2007,Akiva Schaffer,"Andy Samberg,Jorma Taccone,Isla Fisher,Bill Hader,Ian McShane,Sissy Spacek,Will Arnett,Danny McBride",3.0,"Action, Comedy",Rated PG-13,88 minutes
120,el cantante,2007,Leon Ichaso,"Marc Anthony,Jennifer Lopez,John Ortiz,Manny Perez,Federico Castelluccio,Nelson Vasquez",2.0,"Drama, Music",Rated R,116 minutes
121,arctic tale,2007,Sarah Robertson,,2.0,"Documentary, Family",Rated G,86 minutes
122,the real dirt on farmer john,2007,,,3.5,Documentary,,82 minutes
123,becoming jane,2007,Julian Jarrold,"Anne Hathaway,James McAvoy,Julie Walters,James Cromwell,Maggie Smith,Joe Anderson",3.0,"Drama, Romance",Rated PG,120 minutes
124,stardust,2007,Matthew Vaughn,"Claire Danes,Charlie Cox,Robert De Niro,Sienna Miller,Michelle Pfeiffer,Jason Flemyng,Peter O'Toole,Rupert Everett,Ian McKellen",2.5,"Action, Adventure, Comedy, Family, Fantasy, Foreign, Romance, Science Fiction",Rated PG-13,127 minutes
125,the wind that shakes the barley,2007,Ken Loach,"Cillian Murphy,Padraic Delaney,Liam Cunningham,Orla Fitzgerald,Gerard Kearney,William Ruane",4.0,"Action, Drama, Foreign, History",Rated NR,124 minutes
126,color me kubrick,2007,Brian W. Cook,"John Malkovich,Jim Davidson,Richard E. Grant,William Hootkins,Marisa Berenson,Robert Powell,Ken Russell",2.5,"Comedy, Drama",Rated NR,86 minutes
127,into great silence,2007,Philip Groning,,3.5,"Documentary, Foreign",Rated NR,76 minutes
128,walking to werner,2007,,,3.0,,Rated NR,
129,red road,2007,Andrea Arnold,"Kate Dickie,Tony Curran,Martin Compston,Nathalie Press,Andrew Armour,John Comerford",3.5,"Drama, Foreign, Indie, Thriller",Rated NR,108 minutes
130,the bourne ultimatum,2007,Paul Greengrass,"Matt Damon,Julia Stiles,David Strathairn,Joan Allen",3.5,"Action, Drama, Mystery, Thriller",Rated PG-13,115 minutes
131,rush hour 3,2007,Brett Ratner,"Jackie Chan,Chris Tucker,Max von Sydow,Yvan Attal,Dana Ivey,Roman Polanski",2.0,"Action, Adventure, Comedy, Crime, Thriller",Rated PG-13,91 minutes
132,this is england,2007,Shane Meadows,"Thomas Turgoose,Joe Gilgun,Stephen Graham,Andrew Shim,Jo Hartley",3.5,"Crime, Drama, Foreign, Indie",Rated R,101 minutes
133,fay grim,2007,Hal Hartley,"Parker Posey,Jeff Goldblum,James Urbaniak,Saffron Burrows,Thomas Jay Ryan",2.0,"Action, Comedy, Drama, Thriller",Rated NR,118 minutes
134,shrek the third,2007,Chris Miller,"Mike Myers,Eddie Murphy,Cameron Diaz,Antonio Banderas,Justin Timberlake,John Cleese,Julie Andrews,Rupert Everett",2.5,"Adventure, Animation, Comedy, Family, Fantasy, Science Fiction",Rated PG,93 minutes
135,brand upon the brain!,2007,Guy Maddin,"Gretchen Krich,Sullivan Brown,Maya Lawson,Katherine E. Scharhon,Todd Moore,Andy Loviska,Kellan Larson,Erik Steffen Maahs",3.5,"Drama, Fantasy, Indie",Rated R,95 minutes
136,bug,2007,William Friedkin,"Ashley Judd,Michael Shannon,Brian F. O'Byrne,Harry Connick Jr.",3.5,"Horror, Indie, Thriller",Rated R,102 minutes
137,black sheep,2007,Jonathan King,"Nathan Meister,Peter Feeney,Danielle Mason,Oliver Driver,Tammy Davis",2.0,"Comedy, Foreign, Horror",Rated NR,87 minutes
138,angel-a,2007,Luc Besson,"Jamel Debbouze,Rie Rasmussen,Gilbert Melki,Serge Riaboukine",2.0,"Comedy, Drama, Fantasy",Rated R,91 minutes
